Borough,Address,Address1,OrganizationName,Faith_Based_Organization,Foundation,New_York_City_Agency,Nonprofit
BK,3510 CHURCH AVENUE,3510 Church Avenue,Sesame Flyers International, Inc.,N,N,N,Y
QN,24-40 STEINWAY STREET,24-40 Steinway Street,Immigration Advocacy Services (IAS),N,N,N,Y
QN,35-71 162 STREET,35-71 162 Street,Korean Family Counseling and Research Center,N,N,N,Y
MN,1375 BROADWAY,1375 Broadway,MCC Women's Business Committee,N,N,N,Y
BK,22 CHAPEL STREET,22 Chapel Street,Addiction Research and Treatment Corp.,N,N,N,Y
BK,22 CHAPEL STREET,22 Chapel Street,Urban Resource Institute (URI),N,N,N,Y
BK,33 IRVING PLACE,33 Irving Place,Graham Windham,N,N,N,Y
BK,301 GROVE STREET,301 Grove Street,Make the Road New York,N,N,N,Y
BK,1413 AVENUE T,1413 Avenue T,Homecrest Community Services, Inc,N,N,N,Y
BK,415 ALBEMARLE ROAD,415 Albemarle Road,Brooklyn Housing and Family Services, Inc.,N,N,N,Y
SI,400 BROADWAY,400 Broadway,APICHA - Asian & Pacific Islander Coalition on HIV/AIDS,N,N,N,Y
BX,2523 OLINVILLE AVENUE,2523 Olinville Avenue,Neighborhood Initiatives Development Corporation,N,N,N,Y
BK,1907 MERMAID AVENUE,1907 Mermaid Avenue,Amethyst Women's Project,N,N,N,Y
BK,671 LOUISIANA AVENUE,671 Louisiana Avenue,Be'er Hagolah Institutes,N,N,N,Y
SI,346 BROADWAY,346 Broadway,Montford Point Marine Association - NY Metro Chapter,N,N,N,Y
SI,346 BROADWAY,346 Broadway,The United War Veterans Council of New York County,N,N,N,Y
SI,346 BROADWAY,346 Broadway,Jewish War Veterans-Department of New York,N,N,N,Y
SI,346 BROADWAY,346 Broadway,Catholic War Veterans - Department of New York,N,N,N,Y
SI,346 BROADWAY,346 Broadway,CASES: GirlRising,N,N,N,Y
BK,500 HAMPTON AVENUE,500 Hampton Avenue,Women Builders Council,N,N,N,Y
MN,281 PLEASANT AVENUE,281 Pleasant Avenue,The Nourishing Kitchen of New York City, Inc.,N,N,N,Y
BK,1756 OCEAN AVENUE,1756 Ocean Avenue,Fresh Start Training Program,N,N,N,Y
