Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
QN,91-48 88 ROAD,8929,106,7,162.3,108.8,,489.4
QN,63-19 AUSTIN STREET,3094,5,3,171.1,138.8,,619.1
BK,99 SUTTON STREET,2658,26,1,135.2,54.3,,244
MN,2 COOPER SQUARE,544,65,3,183.8,94.9,,841.6
MN,300 CATHEDRAL PARKWAY,1845,7501,1,251,120.5,,1578.3
BK,281 CROWN STREET,1290,1,1,178.5,136.2,,231.5
QN,28-27 30 STREET,595,10,1,556.6,208,,1134
BK,358 TROY AVENUE,1412,35,1,590.8,192.1,,1513.4
BX,1245 FINDLAY AVENUE,2436,33,7,165.1,137.3,,409.3
MN,799 8 AVENUE,1039,32,1,274.9,186.8,,1504.6
BK,7101 AVENUE T,8393,1,5,356.3,175.3,65.6,117.5
MN,420 EAST 72 STREET,1466,37,5,165.3,112.4,,1601.1
BX,1105 MORRISON AVENUE,3744,39,1,242.6,160.4,,452.5
BK,222 EAST 17 STREET,5120,26,1,187.9,158.1,,794
QN,2-40 51 AVENUE,15,7501,6,154.5,89.7,,398.5
BK,4011 KINGS HIGHWAY,7813,3,1,233.6,196.9,,1096.7
MN,136 WEST 23 STREET,798,7503,1,157.7,84.1,,222.7
MN,215 7 AVENUE,798,7502,1,196.6,97.4,,1292.5
MN,162 WEST 54 STREET,1006,63,1,208.7,132,,928.7
BX,2069 WALTON AVENUE,3179,57,1,251.6,211,,314.7
BX,3418 GATES PLACE,3324,41,4,162,137.8,,512.7
MN,351 EAST 57 STREET,1350,7501,1,462.4,380,,2531.9
MN,165 CHAMBERS STREET,140,7501,3,194.2,101.1,,776.6
MN,157 WEST 47 STREET,1000,7,1,317.2,164.7,,739.6
QN,55-30 46 STREET,2550,227,1,187.8,67.1,,320
BK,99 CLINTON STREET,255,25,1,271.9,97.1,,227.9
MN,21 SOUTH END AVENUE,16,7509,5,206,113.2,,1688.5
MN,58 WEST 58 STREET,1273,7501,3,207.2,125.7,,1840.9
MN,370 COLUMBUS AVENUE,1149,33,1,264,173.3,,332.5
BK,354 EAST 53 STREET,4700,25,1,977.9,905.1,,1380.5
QN,16-31 163 STREET,4767,1,6,274.7,183.3,,143.6
MN,240 MADISON AVENUE,867,18,1,223.5,111.9,,627
BK,2513 TILDEN AVENUE,5128,34,1,235.5,121.2,,305.1
QN,37-12 82 STREET,1292,12,2,180.7,64.5,,211.8
BK,7801 BAY PARKWAY,6265,6,1,197.2,82.4,,290.5
QN,41-23 CRESCENT STREET,415,7502,1,229,132,,921.2
MN,237 EAST 55 STREET,1329,17,1,1029.8,370.7,,7012.3
SI,90 BAY STREET LANDING,1,7503,1,206.1,82.5,,1172.9
MN,27 GREAT JONES STREET,530,7502,1,312.4,194.9,,415.8
MN,308 WEST 93 STREET,1252,24,3,235.6,205.2,,298.9
QN,164-03 89 AVENUE,9814,1,6,151.8,102.2,,267.2
MN,136 EAST 56 STREET,1310,59,2,191.3,117,,1538.1
MN,80 GROVE STREET,592,40,4,221.7,142,,526.5
BK,136 ATLANTIC AVENUE,285,17,3,193.9,108.3,,291.8
MN,173 HENRY STREET,284,11,1,244.5,175.6,,376.1
BX,1660 CROTONA PARK EAST,2940,1,5,199,151.5,,541
BK,1900 AVENUE W,7404,1,1,426.5,388.2,,1517.1
BX,2165 RYER AVENUE,3157,64,6,154.8,104.7,,420.8
MN,52 EAST 78 STREET,1392,46,1,501.8,344.1,,580.3
MN,180 CLAREMONT AVENUE,1993,112,5,156.4,119.3,,330.8
QN,135-30 140 STREET,12093,34,4,274.6,148.1,,1976.9
BK,1375 EAST 18 STREET,6747,68,5,117.4,94.2,,274.6
QN,73-43 LITTLE NECK PARKWAY,8440,1,1,263.9,193.9,8.8,973.6
BK,60 BROADWAY,2130,7501,7,171.5,87.7,,1101.6
MN,402 COLUMBUS AVENUE,1210,7501,2,193.8,91.9,,1164.8
MN,2700 BROADWAY,1875,7501,3,191.3,89.6,,869.9
MN,535 EAST 75 STREET,1487,7502,1,200.6,125,,2587.7
MN,425 WEST 50 STREET,1060,7502,1,654.1,208.3,,4750.8
QN,31-21 90 STREET,1402,42,1,229.8,175,,360.5
BX,3536 CAMBRIDGE AVENUE,5791,7501,4,156.4,101.6,,281.3
BX,3035 WHITE PLAINS ROAD,4545,7501,4,163.6,87.5,,524.3
MN,170 EAST 77 STREET,1411,7502,2,174,97.5,,641.9
MN,275 GREENWICH STREET,132,7501,5,192.6,101.5,,1012.8
MN,139 EAST 63 STREET,1398,7502,6,165,99.4,,717.1
MN,179 7 AVENUE,796,7501,1,213.4,155.4,,346.5
QN,83-23 VIETOR AVENUE,1517,69,1,908,303.9,,3523.4
MN,250 BOWERY,507,7502,1,186.6,80.6,,227.6
BK,16 94 STREET,6111,14,4,175.2,143.4,,270.1
BK,156 HOPE STREET,2387,7,2,198.7,109.5,,256.5
BK,2970 OCEAN AVENUE,7440,41,2,189.9,119.2,,270.1
BK,563 DUMONT AVENUE,3785,75,3,198,138.1,,420
MN,1265 BROADWAY,833,75,2,178.3,94.4,,403.3
MN,301 EAST 69 STREET,1444,7501,1,203.3,138.5,,2184.8
QN,79-11 NORTHERN BOULEVARD,1175,36,1,182.4,123.8,,262.5
BK,1346 53 STREET,5670,25,7,182,152.2,,319.8
BX,1325 GRAND CONCOURSE,2840,77,1,228.9,170.8,,545.3
BK,652 KENT AVENUE,2023,1,5,413.7,162.7,,140.5
MN,33 WEST 56 STREET,1272,7501,7,165.9,79.9,,584.8
BK,1690 60 STREET,5517,39,3,212.1,145.1,,632.5
QN,23-11 21 AVENUE,881,7501,1,221.2,149.2,,355.5
BK,542 FULTON STREET,161,43,7,461.9,166.7,,347.5
MN,106 PINEHURST AVENUE,2179,185,7,187.2,152.2,,795.1
BK,163 OCEAN AVENUE,5026,11,2,166.4,141.7,,931
BK,3685 NOSTRAND AVENUE,8791,224,1,310.6,241.2,,489.7
BX,675 MORRIS AVENUE,2442,60,2,175.4,123.2,,1376.3
BK,2902 KINGS HIGHWAY,7690,51,1,411.4,242.9,,700.5
BX,1791 WALTON AVENUE,2850,52,1,203.4,117.2,,514.4
MN,415 WASHINGTON STREET,218,7504,1,295.6,211,,693.8
MN,491 GREENWICH STREET,594,7504,2,158.2,85.1,,330.8
MN,775 COLUMBUS AVENUE,1833,7505,3,252.7,116.4,,842.4
BX,666 KAPPOCK STREET,5743,29,5,341.3,224,,976.5
BX,3451 GILES PLACE,3258,222,7,160.3,137.8,,750.3
MN,1733 1 AVENUE,1552,29,2,173.2,113.2,,203
BX,3041 CRUGER AVENUE,4568,34,1,193.2,166.3,,480.4
BX,1930 GRAND CONCOURSE,2810,1,4,200.1,135.5,,458.1
BX,1874 LORING PLACE SOUTH,2879,200,1,205.7,149.9,,531.1
BK,499 OCEAN AVENUE,5081,52,7,167.4,128.8,,248.2
BK,7101 4 AVENUE,5892,6,1,270.7,239.8,,1162.7
MN,768 5 AVENUE,1274,7504,1,432.3,201.2,,8565.2
BK,225 STEUBEN STREET,1922,1,1,280.1,161.6,,1152.6
BK,430 EAST 8 STREET,5376,33,3,195.7,156,,683.8
MN,436 EAST 86 STREET,1565,29,2,194.7,135.9,,2548.4
MN,1653 1 AVENUE,1549,24,1,223.1,147.9,,459.5
BK,268 BUFFALO AVENUE,1386,48,5,136.7,101.1,,197
MN,41 WEST 58 STREET,1274,6,2,231.7,126.6,,1952.6
BX,1691 EASTBURN AVENUE,2794,54,2,179,142.3,,281.5
MN,251 EAST 32 STREET,913,28,6,201.2,125.4,,1151.7
