Borough,Address,Number of Floors,Zoning District,Year Built,Building Class,Filing Status,Filing Date,Owner Bus Name,Qewi Name,Qewi Bus Name
BROOKLYN,MAIN STREET 1,15,C6-2A,1914,RM,SWARMP,08/20/2012,CLOCK TOWER CONDOMINUM,KATHLEEN  NEEDHAM-INOCCO,MIDTOWN PRESERVATION
BROOKLYN,MAIN STREET 1,15,C6-2A,1914,RM,SWARMP,01/31/2018,MARY FRANCES  SHAUGHNESSY,Clock Tower Condominium,KATHLEEN  NEEDHAM-INOCCO,MIDTOWN PRESERVATION
BROOKLYN,JAY STREET 100,31,M1-5/R9-1,2006,RM,SWARMP,07/30/2018,PIERRE  ZARZOUR,J Condominium,MICHAEL  SLEIMAN,MIDTOWN PRESERVATION ARCHITECTURE &amp;
BROOKLYN,PRINCE STREET 2,8,C6-2,1905,E7,SWARMP,11/29/2005,FBE PRINCE STREET LLC,JAY  BUTLER,JAY E. BUTLER,PE
BROOKLYN,FULTON STREET 505,7,C6-4.5,1930,RM,SWARMP,08/28/2020,CASEY  MARTINEZ,Triad Master Owner LLC (Commercial) and Triad Resi,IVAN  ZURKIWSKYJ,CANY
BROOKLYN,FULTON STREET 505,7,C6-4.5,1930,RM,SWARMP,05/11/2007,TRIAD FULTON LLC,STEVEN  LANE,DEVON ARCHITECTS
BROOKLYN,FULTON STREET 505,7,C6-4.5,1930,RM,SWARMP,07/14/2017,ALBERT  MAMIYE,TRIAD FULTON LLC,DOUGLAS  LANE
BROOKLYN,JAY STREET 365,6,C6-1A,1892,D5,SWARMP,12/19/2014,365 JAY STREET FIREHOUSE, LP,STEPHEN  MARCHESE,FUTURE TECH CONSULTANTS
BROOKLYN,JAY STREET 365,6,C6-1A,1892,D5,SWARMP,12/19/2014,365 JAY STREET FIREHOUSE, LP,STEPHEN  MARCHESE,FUTURE TECH CONSULTANTS
BROOKLYN,ATLANTIC AVENUE 307,8,R7A,2008,D7,SWARMP,08/24/2016,307-309 ATL AVE AQUIS LLC,RICHARD  LEFEVER,FACADE MD-ARCHITECTS & ENGINEERS
BROOKLYN,THIRD AVENUE 30,14,R7A,1927,RB,SWARMP,05/20/2008,Y.W.C.A. OF BROOKLYN,COSMO  VENEZALE,MURNO & VENEZIALE
BROOKLYN,ATLANTIC AVENUE 457,8,R7A,2004,RM,SWARMP,02/21/2017,STEPHEN  EGBERT,Goldin Management,KENDRA  LOGAN,KELRA CONSULTANTS, PLLC
