Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
QN,37-01 BOWNE STREET,5013,6,,,,,
BK,5902 DITMAS AVENUE,7917,9,,,,,
SI,2 HYLAN BOULEVARD,2830,49,,,,,
QN,85-08 51 AVENUE,1549,1,,,,,
QN,137-16 NORTHERN BOULEVARD,4977,26,,,,,
