Borough,Address,Building Class
MN,255 CANAL STREET,O5
SI,476 KLONDIKE AVENUE,O8
MN,37 WEST 57 STREET,O6
QN,252-34 NORTHERN BOULEVARD,O5
MN,207 EAST 94 STREET,O5
MN,419 WEST 146 STREET,O5
MN,25 HOWARD STREET,O5
MN,225 VARICK STREET,O6
BK,4123 4 AVENUE,O8
BK,730 64 STREET,O5
MN,441 BROADWAY,O5
BK,50 DOBBIN STREET,O8
QN,43-22 50 STREET,O5
QN,223-01 LINDEN BOULEVARD,O8
BX,3500 LACONIA AVENUE,O5
BK,8122 7 AVENUE,O8
BX,4351 WHITE PLAINS ROAD,O8
MN,10 WEST 55 STREET,O5
QN,19-61 49 STREET,O5
MN,110 5 AVENUE,O6
QN,98-09 NORTHERN BOULEVARD,O8
QN,43-16 54 ROAD,O5
SI,20 BRICK COURT,O5
QN,106-21 156 STREET,O5
QN,45-18 PARSONS BOULEVARD,O8
MN,90 WOOSTER STREET,O5
MN,305 GRAND STREET,O5
BK,1424 FULTON STREET,O8
BK,263 52 STREET,O5
BK,18 BRIDGE STREET,O8
SI,2344 VICTORY BOULEVARD,O5
QN,41-21 27 STREET,O6
BK,548 EAST NEW YORK AVENUE,O5
BK,205 OCEAN VIEW AVENUE,O8
QN,129-09 26 AVENUE,O5
MN,29 WEST 56 STREET,O6
BK,735 BEDFORD AVENUE,O5
BK,1601 KINGS HIGHWAY,O5
MN,181 FRANKLIN STREET,O5
MN,40 WATER STREET,O5
QN,37-14 61 STREET,O5
QN,81-11 ROOSEVELT AVENUE,O5
BK,2779 86 STREET,O8
QN,37-31 76 STREET,O8
MN,895 BROADWAY,O5
QN,10-36 49 AVENUE,O5
BK,255 WATER STREET,O5
BK,570 FULTON STREET,O5
MN,286 5 AVENUE,O6
MN,234 WEST 56 STREET,O5
BK,185 HERKIMER STREET,O5
MN,37 EAST 18 STREET,O6
BK,845 58 STREET,O8
MN,369 GREENWICH STREET,O5
MN,263 WEST 38 STREET,O6
BX,2128 WESTCHESTER AVENUE,O5
MN,401 GREENWICH STREET,O5
QN,45-02 82 STREET,O8
MN,2 PIKE STREET,O6
BX,1052 MORRIS PARK AVENUE,O5
QN,87-42 169 STREET,O8
BK,1034 FLATBUSH AVENUE,O5
QN,76-49 HEWLETT STREET,O8
BK,395 FLATBUSH AVENUE EXT,O6
BX,2865 3 AVENUE,O5
MN,43 WEST 33 STREET,O5
BK,2431 86 STREET,O5
BK,573 SACKETT STREET,O5
QN,131-04 40 ROAD,O5
MN,307 EAST 53 STREET,O5
BK,1421 SHEEPSHEAD BAY ROAD,O5
QN,154-19 NORTHERN BOULEVARD,O5
MN,1255 BROADWAY,O6
MN,520 BROADWAY,O6
MN,524 BROADWAY,O6
MN,48 WEST 57 STREET,O6
QN,64-38 MYRTLE AVENUE,O5
QN,96-14 63 DRIVE,O5
QN,72-28 BROADWAY,O5
QN,72-24 BROADWAY,O5
MN,254 5 AVENUE,O5
BX,3440 BOSTON ROAD,O5
MN,820 GREENWICH STREET,O5
BK,27 SMITH STREET,O5
BK,5413 NEW UTRECHT AVENUE,O8
BK,6502 11 AVENUE,O8
BK,6823 8 AVENUE,O8
BK,117 70 STREET,O8
MN,123 LAFAYETTE STREET,O5
MN,80 UNIVERSITY PLACE,O5
QN,23-73 48 STREET,O5
QN,119-03 AUSTIN STREET,O8
QN,66-66 GRAND AVENUE,O5
SI,156 LAMBERTS LANE,O8
MN,3280 BROADWAY,O6
MN,75 GREENE STREET,O5
MN,23 EAST 115 STREET,O5
SI,453 ARLENE STREET,O8
QN,40-16 74 STREET,O5
BK,626 AVENUE U,O8
QN,158-49 84 STREET,O8
MN,1459 3 AVENUE,O5
MN,150 WEST 25 STREET,O6
MN,138 WEST 25 STREET,O6
MN,837 11 AVENUE,O5
MN,113 SPRING STREET,O5
BX,1067 ALLERTON AVENUE,O8
SI,94 HANCOCK STREET,O8
MN,726 BROADWAY,O6
MN,770 BROADWAY,O6
BK,6201 15 AVENUE,O5
SI,6395 AMBOY ROAD,O8
SI,111 MAIN STREET,O8
MN,118 BAXTER STREET,O6
BX,975 MORRIS PARK AVENUE,O5
MN,36 WEST 48 STREET,O5
MN,11 PARK PLACE,O6
BX,414 WILLIS AVENUE,O5
BX,444 WILLIS AVENUE,O5
MN,381 BROADWAY,O5
QN,138-02 NORTHERN BOULEVARD,O5
QN,39-10 MAIN STREET,O5
MN,416 WEST 13 STREET,O5
BK,55 WATER STREET,O5
BK,388 ATLANTIC AVENUE,O5
BK,144 COURT STREET,O5
BK,390 COURT STREET,O5
BK,405 VAN BRUNT STREET,O5
QN,35-57 89 STREET,O8
BK,712 3 AVENUE,O5
BK,761 4 AVENUE,O8
MN,44 WEST 34 STREET,O5
MN,36 WEST 17 STREET,O5
MN,122 WEST 30 STREET,O5
MN,19 EAST 54 STREET,O5
QN,38-29 150 STREET,O8
SI,4864 ARTHUR KILL ROAD,O5
BK,634 DEAN STREET,O5
MN,62 WEST 45 STREET,O6
BK,5717 16 AVENUE,O5
BK,907 ST MARKS AVENUE,O5
BK,1651 CONEY ISLAND AVENUE,O5
BK,1021 AVENUE Z,O8
BK,1502 KINGS HIGHWAY,O5
MN,150 WEST 46 STREET,O6
BK,6410 8 AVENUE,O5
QN,40-46 75 STREET,O8
MN,224 WEST 29 STREET,O6
BX,2421 WESTCHESTER AVENUE,O5
MN,35 EAST BROADWAY,O5
SI,2315 VICTORY BOULEVARD,O8
MN,13 WEST 28 STREET,O6
MN,1000 AVENUE OF THE AMER,O5
MN,48 WEST 37 STREET,O6
MN,501 WEST 42 STREET,O5
SI,45 LITTLE CLOVE ROAD,O8
SI,47 LITTLE CLOVE ROAD,O8
SI,135 CANAL STREET,O5
SI,245 NORTH GANNON AVENUE,O8
SI,1225 RICHMOND ROAD,O8
MN,142 GREENE STREET,O5
BK,2359 86 STREET,O8
BK,20 JAY STREET,O6
MN,306 EAST 61 STREET,O6
QN,59-29 55 STREET,O5
BK,37 CONWAY STREET,O5
MN,481 BROADWAY,O5
MN,497 BROOME STREET,O5
QN,43-20 VAN DAM STREET,O5
MN,494 BROADWAY,O5
MN,468 BROOME STREET,O5
MN,632 BROADWAY,O6
MN,636 BROADWAY,O6
MN,420 WEST 116 STREET,O6
MN,90 GRAND STREET,O5
MN,435 HUDSON STREET,O6
MN,202 WEST 136 STREET,O5
MN,249 WEST 17 STREET,O5
MN,245 WEST 17 STREET,O6
MN,208 WEST 30 STREET,O6
MN,236 WEST 30 STREET,O6
MN,261 WEST 35 STREET,O6
MN,241 WEST 37 STREET,O6
MN,232 WEST 37 STREET,O5
MN,247 WEST 37 STREET,O6
MN,246 WEST 38 STREET,O6
BK,2703 ATLANTIC AVENUE,O8
MN,135 WEST 18 STREET,O5
MN,251 WEST 39 STREET,O6
BK,186 MONTAGUE STREET,O5
BK,4822 13 AVENUE,O5
MN,355 WEST 52 STREET,O6
MN,118 WEST 22 STREET,O6
QN,88-66 MYRTLE AVENUE,O5
BK,2080 CONEY ISLAND AVENUE,O5
MN,147 WEST 24 STREET,O6
MN,145 WEST 24 STREET,O5
MN,111 CHURCH STREET,O5
MN,75 MURRAY STREET,O5
MN,768 2 AVENUE,O6
MN,127 WEST 24 STREET,O6
MN,130 WEST 25 STREET,O6
MN,121 EAST 24 STREET,O6
SI,109 WINANT AVENUE,O5
MN,152 WEST 25 STREET,O6
MN,151 WEST 25 STREET,O6
QN,11-20 46 ROAD,O5
MN,134 WEST 26 STREET,O6
MN,147 WEST 26 STREET,O5
MN,151 WEST 26 STREET,O6
QN,208-17 JAMAICA AVENUE,O8
MN,106 WEST 28 STREET,O5
BK,3902 5 AVENUE,O5
MN,143 WEST 29 STREET,O6
MN,421 7 AVENUE,O6
BK,171 DWIGHT STREET,O8
MN,131 WEST 35 STREET,O6
MN,142 WEST 36 STREET,O6
MN,120 EAST 13 STREET,O8
MN,58 EAST 11 STREET,O8
MN,97 UNIVERSITY PLACE,O6
MN,57 EAST 11 STREET,O6
QN,46-32 11 STREET,O5
SI,271 MASON AVENUE,O8
MN,56 WEST 14 STREET,O6
MN,6 WEST 14 STREET,O5
MN,80 5 AVENUE,O6
MN,78 5 AVENUE,O6
MN,109 WEST 38 STREET,O6
MN,108 WEST 39 STREET,O6
MN,37 WEST 14 STREET,O5
MN,50 WEST 17 STREET,O6
MN,45 WEST 17 STREET,O5
MN,118 5 AVENUE,O6
MN,6 WEST 18 STREET,O6
QN,49-03 69 STREET,O5
MN,10 WEST 18 STREET,O6
MN,3 WEST 18 STREET,O6
MN,7 WEST 19 STREET,O8
MN,148 5 AVENUE,O6
MN,22 WEST 21 STREET,O6
MN,30 WEST 21 STREET,O6
MN,45 WEST 21 STREET,O5
MN,56 WEST 22 STREET,O6
MN,37 WEST 22 STREET,O6
MN,14 WEST 23 STREET,O5
MN,6 WEST 24 STREET,O5
MN,36 WEST 25 STREET,O6
BX,1199 PIERCE AVENUE,O8
MN,40 WEST 25 STREET,O6
MN,48 WEST 25 STREET,O6
MN,41 WEST 25 STREET,O6
MN,1121 BROADWAY,O6
MN,114 EAST 25 STREET,O6
MN,34 WEST 15 STREET,O6
MN,22 WEST 38 STREET,O6
MN,31 WEST 26 STREET,O5
MN,552 7 AVENUE,O6
MN,113 UNIVERSITY PLACE,O6
MN,25 WEST 26 STREET,O6
QN,80-02 QUEENS BOULEVARD,O6
MN,19 WEST 26 STREET,O5
MN,15 WEST 26 STREET,O6
MN,1145 BROADWAY,O5
MN,1140 BROADWAY,O6
MN,18 WEST 27 STREET,O6
MN,22 WEST 27 STREET,O6
MN,28 WEST 27 STREET,O6
MN,8 WEST 28 STREET,O5
MN,6 WEST 28 STREET,O5
MN,1179 BROADWAY,O5
MN,47 WEST 28 STREET,O5
MN,1178 BROADWAY,O5
MN,1195 BROADWAY,O6
MN,36 WEST 29 STREET,O5
MN,838 AVENUE OF THE AMER,O5
MN,276 5 AVENUE,O6
MN,29 WEST 30 STREET,O6
MN,290 5 AVENUE,O5
MN,298 5 AVENUE,O6
MN,25 WEST 31 STREET,O6
MN,12 WEST 32 STREET,O6
MN,16 WEST 32 STREET,O6
MN,22 WEST 32 STREET,O6
MN,447 BROADWAY,O5
MN,32 HOWARD STREET,O5
MN,330 5 AVENUE,O6
MN,320 5 AVENUE,O6
MN,1270 BROADWAY,O6
MN,43 WEST 34 STREET,O6
MN,7 WEST 34 STREET,O6
MN,35 WEST 35 STREET,O6
MN,3 WEST 35 STREET,O6
MN,29 WEST 35 STREET,O6
MN,16 WEST 36 STREET,O6
MN,8 WEST 36 STREET,O6
QN,224-10 MERRICK BOULEVARD,O5
MN,20 WEST 36 STREET,O6
MN,63 WEST 36 STREET,O6
MN,53 WEST 36 STREET,O6
MN,41 WEST 36 STREET,O5
MN,29 WEST 36 STREET,O6
MN,35 WEST 36 STREET,O6
MN,25 WEST 36 STREET,O6
MN,13 WEST 36 STREET,O6
MN,7 WEST 36 STREET,O6
MN,402 5 AVENUE,O6
MN,34 WEST 37 STREET,O5
MN,36 WEST 37 STREET,O6
MN,49 WEST 37 STREET,O6
MN,8 WEST 38 STREET,O6
MN,42 WEST 38 STREET,O6
MN,1024 AVENUE OF THE AMER,O5
MN,60 WEST 38 STREET,O5
MN,35 WEST 38 STREET,O5
MN,54 WEST 39 STREET,O6
MN,333 PARK AVENUE SOUTH,O5
MN,35 WEST 39 STREET,O6
BK,75 BELMONT AVENUE,O8
QN,36-01 43 AVENUE,O5
QN,36-06 43 AVENUE,O5
MN,1071 AVENUE OF THE AMER,O6
QN,43-01 22 STREET,O5
QN,36-14 35 STREET,O5
QN,36-01 36 AVENUE,O5
MN,138 EAST 57 STREET,O5
BK,868 39 STREET,O5
MN,222 EAST 46 STREET,O5
MN,256 WEST 36 STREET,O6
MN,104 GREENE STREET,O6
MN,225 WEST 39 STREET,O6
QN,34-31 STEINWAY STREET,O5
BK,59 FLATBUSH AVENUE,O6
QN,24-29 JACKSON AVENUE,O5
SI,1984 RICHMOND ROAD,O8
BK,601 5 AVENUE,O5
MN,323 HUDSON STREET,O6
MN,375 HUDSON STREET,O6
QN,34-01 38 AVENUE,O5
BK,2520 CONEY ISLAND AVENUE,O5
MN,19 WEST 44 STREET,O6
MN,104 WEST 27 STREET,O6
MN,15 WEST 39 STREET,O6
MN,149 EAST 63 STREET,O8
BK,265 52 STREET,O5
MN,21 WEST 39 STREET,O5
MN,20 EAST 15 STREET,O6
MN,18 EAST 17 STREET,O6
MN,101 5 AVENUE,O6
MN,231 WEST 39 STREET,O6
MN,29 WEST 17 STREET,O6
MN,9 EAST 19 STREET,O6
MN,857 BROADWAY,O5
MN,200 PARK AVENUE SOUTH,O6
MN,119 5 AVENUE,O6
MN,35 EAST 19 STREET,O5
MN,545 MADISON AVENUE,O6
MN,30 EAST 20 STREET,O6
MN,135 5 AVENUE,O6
MN,137 5 AVENUE,O6
MN,63 WEST 125 STREET,O5
BK,1400 FLATBUSH AVENUE,O8
MN,1015 MADISON AVENUE,O5
BK,2917 GLENWOOD ROAD,O8
MN,153 5 AVENUE,O6
MN,928 BROADWAY,O6
MN,924 BROADWAY,O5
SI,65 ROSE AVENUE,O8
MN,233 5 AVENUE,O5
MN,235 5 AVENUE,O6
MN,1 EAST 27 STREET,O5
MN,89 MADISON AVENUE,O6
MN,424 PARK AVENUE SOUTH,O6
MN,112 MADISON AVENUE,O6
MN,36 EAST 31 STREET,O6
MN,130 MADISON AVENUE,O5
MN,39 EAST 31 STREET,O5
MN,44 EAST 32 STREET,O6
MN,38 EAST 32 STREET,O6
MN,319 5 AVENUE,O5
MN,30 EAST 33 STREET,O6
MN,331 5 AVENUE,O5
MN,1 EAST 33 STREET,O6
MN,33 EAST 33 STREET,O6
MN,14 EAST 34 STREET,O5
MN,4 EAST 34 STREET,O5
MN,349 5 AVENUE,O6
MN,53 EAST 34 STREET,O5
QN,40-28 82 STREET,O5
MN,375 5 AVENUE,O5
MN,8 EAST 36 STREET,O5
MN,381 5 AVENUE,O5
MN,14 EAST 38 STREET,O6
MN,10 EAST 38 STREET,O6
MN,4 EAST 39 STREET,O5
MN,435 5 AVENUE,O6
MN,125 BARCLAY STREET,O6
MN,912 BROADWAY,O6
MN,44 UNION SQUARE,O5
MN,248 WEST 35 STREET,O6
BX,880 RIVER AVENUE,O5
MN,5 EAST 59 STREET,O6
MN,637 MADISON AVENUE,O6
MN,15 EAST 61 STREET,O8
MN,24 EAST 64 STREET,O5
MN,750 MADISON AVENUE,O5
MN,20 WEST 38 STREET,O5
MN,87 5 AVENUE,O6
MN,835 MADISON AVENUE,O5
MN,740 BROADWAY,O6
MN,9 WEST 19 STREET,O5
MN,584 BROADWAY,O6
MN,568 BROADWAY,O6
MN,219 EAST 60 STREET,O5
MN,176 GRAND STREET,O5
MN,1333 BROADWAY,O6
QN,75-67 193 STREET,O8
BK,4426 18 AVENUE,O8
MN,2416 AMSTERDAM AVENUE,O5
MN,1448 ST NICHOLAS AVENUE,O5
QN,63-44 SAUNDERS STREET,O8
MN,7 EAST 47 STREET,O5
BK,60 SACKETT STREET,O5
MN,204 WEST 84 STREET,O5
QN,58-48 189 STREET,O8
MN,210 WEST 29 STREET,O6
MN,221 WEST 37 STREET,O5
BK,2204 VOORHIES AVENUE,O8
QN,83-04 BROADWAY,O5
QN,61-54 162 STREET,O8
QN,11-36 45 ROAD,O5
BX,21 EAST FORDHAM ROAD,O5
MN,53 EAST 75 STREET,O8
BX,18 EAST KINGSBRIDGE RD,O8
BK,217 HAVEMEYER STREET,O5
BK,2765 CONEY ISLAND AVENUE,O5
BK,2751 CONEY ISLAND AVENUE,O8
BK,315 WYCKOFF AVENUE,O5
MN,418 MADISON AVENUE,O6
MN,4 EAST 54 STREET,O5
MN,21 EAST 67 STREET,O5
MN,506 EAST 74 STREET,O5
BK,2557 NOSTRAND AVENUE,O5
MN,55 WEST 125 STREET,O6
MN,516 WEST 181 STREET,O5
BK,103 COURT STREET,O5
MN,222 5 AVENUE,O5
BX,230 EAST 144 STREET,O8
BK,1465 MYRTLE AVENUE,O5
QN,110-20 JAMAICA AVENUE,O5
BK,2060 EASTERN PARKWAY,O5
MN,311 WEST 43 STREET,O6
SI,1039 RICHMOND ROAD,O8
BK,25 FLATBUSH AVENUE,O5
BK,837 59 STREET,O5
QN,166-20 UNION TURNPIKE,O8
QN,67-05 ROOSEVELT AVENUE,O5
BX,4730 RICHARDSON AVENUE,O8
BK,5623 8 AVENUE,O5
SI,14 SLOSSON TERRACE,O5
MN,254 WEST 47 STREET,O5
BK,1648 EAST 14 STREET,O8
BX,1932 WASHINGTON AVENUE,O5
MN,37 UNION SQUARE,O5
BK,8401 FT HAMILTON PARKWAY,O8
BK,2019 NOSTRAND AVENUE,O8
BK,1371 ROCKAWAY PARKWAY,O8
BK,485 FULTON STREET,O5
BK,821 59 STREET,O5
BK,7119 13 AVENUE,O8
BK,7117 13 AVENUE,O8
MN,410 WEST 13 STREET,O5
MN,428 WEST 14 STREET,O5
MN,426 WEST 14 STREET,O5
MN,418 WEST 14 STREET,O5
QN,156-15 146 AVENUE,O5
MN,349 LEXINGTON AVENUE,O6
SI,305 SEGUINE AVENUE,O8
MN,536 WEST 29 STREET,O8
MN,469 10 AVENUE,O6
MN,522 WEST 37 STREET,O5
MN,737 5 AVENUE,O6
MN,551 MADISON AVENUE,O6
MN,241 CENTRE STREET,O6
MN,409 WEST 14 STREET,O5
MN,407 WEST 14 STREET,O5
BK,237 BAY RIDGE PARKWAY,O8
MN,47 9 AVENUE,O5
MN,412 WEST 15 STREET,O6
MN,75 9 AVENUE,O6
MN,453 WEST 17 STREET,O5
MN,260 WEST 36 STREET,O6
BK,168 HAVEMEYER STREET,O5
MN,213 WEST 40 STREET,O5
MN,315 5 AVENUE,O6
MN,224 WEST 47 STREET,O6
MN,1613 BROADWAY,O6
MN,671 8 AVENUE,O5
QN,63-48 ALDERTON STREET,O8
MN,618 9 AVENUE,O5
MN,709 8 AVENUE,O5
BK,1575 50 STREET,O5
MN,410 WEST 47 STREET,O5
MN,619 WEST 54 STREET,O6
MN,787 11 AVENUE,O6
QN,254-04 UNION TURNPIKE,O5
MN,10 WEST 71 STREET,O8
MN,119 WEST 57 STREET,O6
MN,162 WEST 72 STREET,O5
MN,125 WEST 72 STREET,O5
MN,117 WEST 72 STREET,O5
BK,2376 60 STREET,O5
BK,2357 60 STREET,O5
MN,111 EAST 61 STREET,O8
BK,57 WILLOUGHBY STREET,O5
MN,163 WEST 74 STREET,O8
BK,8421 FLATLANDS AVENUE,O8
MN,244 GRAND STREET,O5
QN,40-24 GLEANE STREET,O8
MN,266 MADISON AVENUE,O6
BK,1116 AVENUE J,O5
BK,1639 EAST 13 STREET,O5
BK,1684 EAST 18 STREET,O8
MN,521 MADISON AVENUE,O6
QN,219-10 HILLSIDE AVENUE,O5
BK,238 44 STREET,O5
MN,1751 PARK AVENUE,O5
MN,379 WEST BROADWAY,O5
BK,730 60 STREET,O8
MN,46 WEST 36 STREET,O5
BX,903 SHERIDAN AVENUE,O5
BK,681 4 AVENUE,O8
QN,83-06 QUEENS BOULEVARD,O8
BK,3065 BRIGHTON 14 STREET,O8
MN,228 EAST 45 STREET,O6
MN,112 EAST 31 STREET,O5
MN,974 MADISON AVENUE,O5
BX,2356 UNIVERSITY AVENUE,O5
MN,474 BROADWAY,O5
MN,16 WEST 46 STREET,O6
BK,285 NORTH 6 STREET,O5
BK,3075 BRIGHTON 13 STREET,O8
BK,3073 BRIGHTON 13 STREET,O8
MN,76 BOWERY,O6
MN,73 HUDSON STREET,O8
BX,557 EAST FORDHAM ROAD,O5
MN,150 WEST 36 STREET,O5
MN,152 WEST 36 STREET,O6
MN,153 WEST 36 STREET,O5
MN,1367 BROADWAY,O5
MN,130 WEST 37 STREET,O5
MN,501 7 AVENUE,O6
BK,1113 BRIGHTON BEACH AVE,O5
BK,466 78 STREET,O8
MN,32 WEST 39 STREET,O6
MN,28 EAST BROADWAY,O5
MN,85 DELANCEY STREET,O5
BX,402 EAST 152 STREET,O5
MN,120 WEST 31 STREET,O6
MN,151 WEST 30 STREET,O6
MN,47 WEST 42 STREET,O6
MN,510 5 AVENUE,O5
MN,16 WEST 45 STREET,O6
MN,45 WEST 45 STREET,O6
MN,49 WEST 45 STREET,O6
MN,25 WEST 45 STREET,O6
MN,17 WEST 45 STREET,O6
MN,550 5 AVENUE,O6
MN,21 WEST 46 STREET,O6
MN,574 5 AVENUE,O5
MN,67 WEST 47 STREET,O6
MN,55 WEST 47 STREET,O6
MN,37 WEST 47 STREET,O6
MN,23 WEST 47 STREET,O6
MN,15 WEST 47 STREET,O6
MN,64 WEST 48 STREET,O6
MN,640 5 AVENUE,O6
MN,39 WEST 54 STREET,O5
MN,33 WEST 54 STREET,O5
MN,13 WEST 54 STREET,O5
MN,41 WEST 54 STREET,O8
MN,39 WEST 56 STREET,O5
MN,15 EAST 40 STREET,O6
MN,22 EAST 41 STREET,O5
BK,914 EAST 84 STREET,O8
MN,10 EAST 44 STREET,O6
MN,343 MADISON AVENUE,O6
MN,3 EAST 44 STREET,O5
MN,589 5 AVENUE,O6
MN,19 EAST 48 STREET,O6
MN,18 EAST 50 STREET,O6
MN,457 MADISON AVENUE,O5
MN,12 EAST 52 STREET,O6
MN,10 EAST 52 STREET,O6
MN,135 WEST 27 STREET,O6
MN,167 WEST 21 STREET,O5
MN,659 5 AVENUE,O6
MN,665 5 AVENUE,O6
MN,673 5 AVENUE,O6
MN,689 5 AVENUE,O6
MN,3 EAST 54 STREET,O6
MN,430 PARK AVENUE,O6
MN,60 EAST 56 STREET,O6
BX,1312 BLONDELL AVENUE,O5
MN,48 EAST 57 STREET,O5
MN,592 MADISON AVENUE,O6
MN,4116 9 AVENUE,O5
MN,310 LENOX AVENUE,O5
QN,52-35 BARNETT AVENUE,O5
MN,52 VARICK STREET,O6
BX,420 EAST 149 STREET,O5
BX,448 EAST 149 STREET,O5
BK,53 NASSAU AVENUE,O8
QN,79-51 COOPER AVENUE,O5
MN,121 EAST 61 STREET,O8
BK,5805 16 AVENUE,O5
BK,175 REMSEN STREET,O6
BX,1624 CROSBY AVENUE,O8
MN,670 BROADWAY,O5
BK,1236 MCDONALD AVENUE,O5
QN,48-17 25 AVENUE,O5
BK,526 FULTON STREET,O5
MN,358 5 AVENUE,O6
MN,43 WEST 36 STREET,O6
MN,54 WEST 40 STREET,O6
MN,242 PARK AVENUE SOUTH,O6
MN,36 EAST 23 STREET,O6
MN,285 5 AVENUE,O6
MN,147 MADISON AVENUE,O6
MN,148 MADISON AVENUE,O6
MN,183 MADISON AVENUE,O6
MN,389 5 AVENUE,O6
MN,385 5 AVENUE,O6
MN,415 5 AVENUE,O6
MN,620 WEST 52 STREET,O5
BK,1685 EAST 15 STREET,O5
BX,860 COURTLANDT AVENUE,O5
BK,39 WASHINGTON STREET,O6
MN,373 BROADWAY,O5
MN,429 WEST 53 STREET,O5
BK,172 GRAVESEND NECK ROAD,O8
MN,121 WEST END AVENUE,O6
MN,34 WEST 36 STREET,O5
MN,155 WEST 72 STREET,O6
MN,2095 BROADWAY,O5
MN,2121 BROADWAY,O5
QN,150-12 ROOSEVELT AVENUE,O5
MN,10 WEST 49 STREET,O5
MN,608 5 AVENUE,O6
MN,7 EAST 44 STREET,O6
MN,4 EAST 46 STREET,O5
MN,346 MADISON AVENUE,O6
MN,49 EAST 52 STREET,O6
MN,711 5 AVENUE,O6
MN,40 WEST 37 STREET,O6
MN,55 WEST 38 STREET,O5
MN,262 WEST 38 STREET,O6
MN,33 WEST 17 STREET,O6
BK,47 WILLOUGHBY STREET,O5
BK,322 STOCKHOLM STREET,O8
QN,10-02 BEACH 20 STREET,O5
BK,387 NEW LOTS AVENUE,O8
QN,2-24 BEACH 20 STREET,O8
BX,3311 BAINBRIDGE AVENUE,O8
BK,70 KENT STREET,O5
QN,147-09 88 AVENUE,O5
MN,59 EAST BROADWAY,O5
MN,213 EAST 38 STREET,O5
MN,8 WEST 37 STREET,O6
MN,16 WEST 37 STREET,O5
MN,18 EAST 22 STREET,O8
MN,42 EAST 23 STREET,O6
MN,22 WEST 23 STREET,O5
MN,55 CANAL STREET,O5
MN,92 HESTER STREET,O5
MN,55 CHRYSTIE STREET,O5
BX,2432 GRAND CONCOURSE,O5
MN,41 WEST 65 STREET,O6
BX,320 SOUNDVIEW AVENUE,O8
MN,291 GRAND STREET,O5
MN,122 EAST 76 STREET,O8
MN,513 WEST 56 STREET,O6
MN,134 DELANCEY STREET,O5
MN,310 EAST 30 STREET,O8
BK,206 KENT AVENUE,O5
MN,701 8 AVENUE,O5
MN,322 WEST 48 STREET,O5
MN,16 EAST 41 STREET,O5
MN,129 FULTON STREET,O5
MN,242 WEST 36 STREET,O6
BK,3621 GLENWOOD ROAD,O8
MN,163 VARICK STREET,O6
MN,9 EAST 45 STREET,O6
BK,224 GRAND STREET,O5
MN,630 9 AVENUE,O6
MN,9 EAST 37 STREET,O6
MN,711 3 AVENUE,O6
QN,32-32 STEINWAY STREET,O5
SI,4288 ARTHUR KILL ROAD,O5
BK,48 SPENCER STREET,O5
MN,171 CANAL STREET,O5
MN,440 9 AVENUE,O6
MN,320 WEST 37 STREET,O6
MN,341 WEST 38TH STREET,O6
MN,240 WEST 38 STREET,O5
MN,242 WEST 38 STREET,O6
MN,221 WEST 38 STREET,O5
MN,526 7 AVENUE,O6
BK,2380 MCDONALD AVENUE,O5
MN,350 WEST 31 STREET,O6
MN,350 WEST 38 STREET,O5
BK,1701 DAHILL ROAD,O8
MN,15 WEST 44 STREET,O6
MN,171 WEST 85 STREET,O5
BK,1706 PITKIN AVENUE,O5
MN,226 EAST 54 STREET,O6
MN,2852 BROADWAY,O5
BK,895 MCDONALD AVENUE,O5
MN,739 2 AVENUE,O5
MN,180 VARICK STREET,O6
MN,2726 8 AVENUE,O5
QN,18-12 CLINTONVILLE STREET,O8
QN,256-02 HILLSIDE AVENUE,O8
MN,45 BOND STREET,O5
BK,150 BRIGHTON 11 STREET,O8
MN,96 SPRING STREET,O6
MN,110 LEROY STREET,O6
MN,3 WEST 22 STREET,O6
MN,625 MADISON AVENUE,O6
MN,2258 3 AVENUE,O5
MN,19 WEST 24 STREET,O6
SI,2749 HYLAN BOULEVARD,O8
MN,42 MOTT STREET,O5
SI,2372 VICTORY BOULEVARD,O8
BX,1067 OGDEN AVENUE,O5
BK,901 FRANKLIN AVENUE,O5
QN,11-11 44 DRIVE,O5
QN,25-01 40 AVENUE,O5
MN,80 BOWERY,O5
QN,262-05 HILLSIDE AVENUE,O8
QN,24-28 JACKSON AVENUE,O5
BK,4502 13 AVENUE,O5
BK,678 DAHILL ROAD,O5
MN,519 BROOME STREET,O5
MN,109 WEST 27 STREET,O6
MN,251 WEST 154 STREET,O5
BK,408 KNICKERBOCKER AVENUE,O5
MN,1461 ST NICHOLAS AVENUE,O5
BX,81 EAST 161 STREET,O5
BK,726 AVENUE Z,O8
MN,13 SOUTH WILLIAM STREET,O5
MN,65 MURRAY STREET,O5
MN,140 WEST 36 STREET,O5
MN,235 1 AVENUE,O5
MN,144 WEST 37 STREET,O5
BX,55 EAST GUN HILL ROAD,O5
BX,2918 3 AVENUE,O5
MN,141 WEST 28 STREET,O6
BX,3176 BAINBRIDGE AVENUE,O5
MN,1697 BROADWAY,O6
BX,3334 BAINBRIDGE AVENUE,O8
BK,474 JOHNSON AVENUE,O5
QN,104-14 113 STREET,O8
MN,1881 BROADWAY,O5
BK,815 BROADWAY,O5
MN,250 HUDSON STREET,O6
MN,350 HUDSON STREET,O6
MN,437 LEXINGTON AVENUE,O6
BX,2024 CRESTON AVENUE,O8
MN,101 MOTT STREET,O6
MN,397 5 AVENUE,O6
MN,110 EAST 55 STREET,O6
