Borough,Address,Job Start Date
MN,1458 YORK AVENUE,2104-10-03T00:00:00.000
MN,45 EAST 85 STREET,2108-05-29T00:00:00.000
MN,1185 PARK AVENUE,2030-02-12T00:00:00.000
MN,431 EAST 86 STREET,2020-04-08T00:00:00.000
MN,1587 MADISON AVENUE,2104-07-31T00:00:00.000
MN,161 EAST 99 STREET,2209-02-04T00:00:00.000
MN,157 EAST 116 STREET,2200-05-29T00:00:00.000
MN,1880 2 AVENUE,2022-07-03T00:00:00.000
MN,2105 1 AVENUE,2050-10-28T00:00:00.000
MN,55 WEST 137 STREET,2026-04-26T00:00:00.000
MN,58 EAST 130 STREET,2108-06-20T00:00:00.000
MN,115 WEST 113 STREET,2105-09-08T00:00:00.000
MN,107 WEST 97 STREET,2046-12-19T00:00:00.000
MN,2632 BROADWAY,2033-06-16T00:00:00.000
MN,233 WEST 108 STREET,2080-07-31T00:00:00.000
MN,375 RIVERSIDE DRIVE,2199-06-08T00:00:00.000
MN,305 WEST 149 STREET,2090-05-13T00:00:00.000
MN,551 WEST 149 STREET,2020-04-06T00:00:00.000
MN,3489 BROADWAY,2106-03-24T00:00:00.000
MN,161 FT WASHINGTON AVENUE,2106-05-05T00:00:00.000
MN,1570 ST NICHOLAS AVENUE,2220-01-22T00:00:00.000
MN,184 DYCKMAN STREET,2109-07-29T00:00:00.000
BX,510 EAST 156 STREET,2020-09-07T00:00:00.000
BX,481 EAST 163 STREET,2202-03-11T00:00:00.000
BX,701 ELTON AVENUE,2020-12-07T00:00:00.000
BX,1241 WASHINGTON AVENUE,2021-07-13T00:00:00.000
BX,315 EAST 166 STREET,2047-12-26T00:00:00.000
BX,1250 SHAKESPEARE AVENUE,2119-09-06T00:00:00.000
BX,328 BEEKMAN AVENUE,2027-12-27T00:00:00.000
BX,810 EAST 152 STREET,2025-02-07T00:00:00.000
BX,1201 LAFAYETTE AVENUE,2052-05-06T00:00:00.000
BX,1775 GRAND CONCOURSE,2210-03-10T00:00:00.000
BX,1320 SHERIDAN AVENUE,2204-04-22T00:00:00.000
BX,1813 PHELAN PLACE,2025-03-02T00:00:00.000
BX,1288 UNION AVENUE,2108-07-24T00:00:00.000
