Borough,Address,Issue Date
MN,504 EAST 11 STREET,04/01/2020
BX,95 WEST 195 STREET,04/01/2020
BK,1347 ST MARKS AVENUE,04/01/2020
BK,1241 HANCOCK STREET,04/01/2020
