Borough,Address,Total Building Floor Area,Number of Floors,Assessed Total Value,Year Built
QN, LITTLE NECK PARKWAY,0,0,0,0
QN, QUEENS BOULEVARD,0,0,0,0
QN,57-06 ROOSEVELT AVENUE,0,0,0,0
QN,141 AVENUE,0,0,0,0
QN, FARMERS BOULEVARD,0,0,0,0
SI, LIBERTY AVENUE,0,0,0,0
SI, NORTH RAILROAD AVE,0,0,0,0
BX,281 EXTERIOR STREET,0,0,0,0
QN,146 STREET,0,0,0,0
BX,,0,0,0,0
BK,8 AVENUE,0,0,0,0
BX,3425 DE REIMER AVENUE,0,0,0,0
QN,115-11 LEFFERTS BOULEVARD,0,0,0,0
QN,93 AVENUE,0,0,0,0
QN,121 STREET,0,0,0,0
QN, SPRINGFIELD BLVD,0,0,0,0
QN,133 AVENUE,0,0,0,0
MN,EAST 110 STREET,0,0,0,0
BK,466 SUTTER AVENUE,0,0,0,0
BK,EAST 10 STREET,0,0,0,0
BK,EAST 9 STREET,0,0,0,0
BK,EAST 13 STREET,0,0,0,0
QN, ALDERTON STREET,0,0,0,0
QN,163 STREET,0,0,0,0
QN, GUY R BREWER BLVD,0,0,0,0
SI, SEAVIEW AVENUE,0,0,0,0
QN, SAWYER AVENUE,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
BK,5400 1 AVENUE,0,0,0,0
SI, POSEN STREET,0,0,0,0
QN, HAWTREE STREET,0,0,0,0
BX,2503 BRUCKNER BOULEVARD,0,0,0,0
QN, WOODWARD AVENUE,0,0,0,0
SI, MEREDITH AVENUE,0,0,0,0
QN,224 STREET,0,0,0,0
BX, WATERS PLACE,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
SI, SOUTH RAILROAD AVE,0,0,0,0
BK,7101 16 AVENUE,0,0,0,0
BK, AVENUE T,0,0,0,0
BK, MILLER AVENUE,0,0,0,0
QN,39 AVENUE,0,0,0,0
QN,31 AVENUE,0,0,0,0
SI,23 WATER STREET,0,0,0,0
BK,1031 EAST 98 STREET,0,0,0,0
SI, UNION AVENUE,0,0,0,0
SI, UNION AVENUE,0,0,0,0
QN,230 STREET,0,0,0,0
SI, NORTH RAILROAD AVE,0,0,0,0
BX,1077 LONGWOOD AVENUE,0,0,0,0
QN,240 STREET,0,0,0,0
BX,1425 ST RAYMOND AVENUE,0,0,0,0
QN, FRESH POND ROAD,0,0,0,0
SI, LAMOKA AVENUE,0,0,0,0
SI, HARBOR ROAD,0,0,0,0
BX, DEYO STREET,0,0,0,0
SI, NORTH RAILROAD AVE,0,0,0,0
MN,469 9 AVENUE,0,0,0,0
BK,EAST 94 STREET,0,0,0,0
BK,EAST 29 STREET,0,0,0,0
BK, AVENUE L,0,0,0,0
BX, WEST TREMONT AVENUE,0,0,0,0
SI, ELLIS STREET,0,0,0,0
SI,6365 AMBOY ROAD,0,0,0,0
QN,170 STREET,0,0,0,0
BK,22 STREET,0,0,0,0
QN,125 STREET,0,0,0,0
SI, BUEL AVENUE,0,0,0,0
QN,165 STREET,0,0,0,0
QN,82 DRIVE,0,0,0,0
BK,9 AVENUE,0,0,0,0
QN,149 AVENUE,0,0,0,0
QN,227 STREET,0,0,0,0
QN,219 STREET,0,0,0,0
BK,3 AVENUE,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
BK, FARRAGUT ROAD,0,0,0,0
BK,7713 3 AVENUE,0,0,0,0
QN,76 ROAD,0,0,0,0
BK,6 AVENUE,0,0,0,0
BX,EAST 161 STREET,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
BK,1110 ATLANTIC AVENUE,0,0,0,0
BX,WEST 192 STREET,0,0,0,0
QN,114 STREET,0,0,0,0
BK,37 STREET,0,0,0,0
MN,413 WEST 39 STREET,0,0,0,0
MN,409 WEST 37 STREET,0,0,0,0
MN,WEST 118 STREET,0,0,0,0
MN,4 PENN PLAZA,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
BK, BUSHWICK AVENUE,0,0,0,0
QN,67 STREET,0,0,0,0
SI, GREENLEAF AVENUE,0,0,0,0
BK,3002 AVENUE Z,0,0,0,0
MN,144 WEST 113 STREET,0,0,0,0
MN,14 WEST 31 STREET,0,0,0,0
BX,EAST 141 STREET,0,0,0,0
BK,313 SUMPTER STREET,0,0,0,0
BK, FORBELL STREET,0,0,0,0
QN,121 STREET,0,0,0,0
BK,8 AVENUE,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
BK,2304 MERMAID AVENUE,0,0,0,0
BK,88 SUMPTER STREET,0,0,0,0
BK, ROCKAWAY PARKWAY,0,0,0,0
BX, JEROME AVENUE,0,0,0,0
SI, BLOOMINGDALE ROAD,0,0,0,0
QN, PITKIN AVENUE,0,0,0,0
BK, BOERUM STREET,0,0,0,0
BX,380 EAST 159 STREET,0,0,0,0
BX, PELHAM PARKWAY,0,0,0,0
BK, VAN SINDEREN AVENUE,0,0,0,0
SI, HYLAN BOULEVARD,0,0,0,0
BX,,0,0,0,0
SI, RARITAN AVENUE,0,0,0,0
QN, MERRICK BOULEVARD,0,0,0,0
MN,525 EAST 75 STREET,0,0,0,0
SI, CRABTREE AVENUE,0,0,0,0
MN,62 LENOX AVENUE,0,0,0,0
QN,24-30 95 STREET,0,0,0,0
QN,94 STREET,0,0,0,0
BK,4 AVENUE,0,0,0,0
QN,70 AVENUE,0,0,0,0
BK,1096 PACIFIC STREET,0,0,0,0
BK, HULL STREET,0,0,0,0
QN,39 STREET,0,0,0,0
BX,495 BROOK AVENUE,0,0,0,0
BK,1914 WEST 7 STREET,0,0,0,0
BX,EAST 153 STREET,0,0,0,0
BX,EAST 132 STREET,0,0,0,0
QN,BEACH 67 STREET,0,0,0,0
BK, STEWART AVENUE,0,0,0,0
BK,113A SCOTT AVENUE,0,0,0,0
BK, BERGEN STREET,0,0,0,0
BK,359 HOOPER STREET,0,0,0,0
BK,398 SOUTH 4 STREET,0,0,0,0
QN, GOODWOOD ROAD,0,0,0,0
QN, JUNCTION BOULEVARD,0,0,0,0
QN,90 AVENUE,0,0,0,0
MN,811 10 AVENUE,0,0,0,0
QN, BEACH CHANNEL DRIVE,0,0,0,0
SI, SPOONER STREET,0,0,0,0
BX, PARK AVENUE,0,0,0,0
BX, PALISADE AVENUE,0,0,0,0
BX,EAST 179 STREET,0,0,0,0
SI, NICHOLAS AVENUE,0,0,0,0
BX, VYSE AVENUE,0,0,0,0
SI, LINDENWOOD ROAD,0,0,0,0
QN, FARMERS BOULEVARD,0,0,0,0
BK,EAST 15 STREET,0,0,0,0
BK,1511 AVENUE X,0,0,0,0
BK,EAST 26 STREET,0,0,0,0
QN,22-25 129 STREET,0,0,0,0
QN,BEACH 108 STREET,0,0,0,0
BX, BEDFORD PARK BLVD,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
BK,41 STREET,0,0,0,0
QN,135 DRIVE,0,0,0,0
BX,181 WEST 231 STREET,0,0,0,0
BX,WEST 236 STREET,0,0,0,0
BX, WATERSTONE DRIVE,0,0,0,0
BX,EAST 236 STREET,0,0,0,0
MN, SECOND AVENUE,0,0,0,0
BX,1886 GILDERSLEEVE AVENUE,0,0,0,0
QN, CYPRESS AVENUE,0,0,0,0
QN,139 STREET,0,0,0,0
QN,43-82 VERNON BOULEVARD,0,0,0,0
QN, METROPOLITAN AVENUE,0,0,0,0
SI, FERGUSON COURT,0,0,0,0
SI, BOYD STREET,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
QN,48 AVENUE,0,0,0,0
SI, WOLCOTT AVENUE,0,0,0,0
BK, LIBERTY AVENUE,0,0,0,0
QN,116 STREET,0,0,0,0
BK, GRANITE STREET,0,0,0,0
SI, MELISSA STREET,0,0,0,0
SI, PRESENTATION CIRCLE,0,0,0,0
BX, LEGGETT AVENUE,0,0,0,0
SI, BRANDIS LANE,0,0,0,0
QN,36 STREET,0,0,0,0
QN,32 AVENUE,0,0,0,0
BX, ST ANNS AVENUE,0,0,0,0
QN,132-02 SPRINGFIELD BLVD,0,0,0,0
QN,93 AVENUE,0,0,0,0
QN,BEACH 98 STREET,0,0,0,0
QN,41 AVENUE,0,0,0,0
QN,146 STREET,0,0,0,0
SI, MC KINLEY AVENUE,0,0,0,0
QN,26 STREET,0,0,0,0
BX, EAST GUN HILL ROAD,0,0,0,0
BX, BRUCKNER BOULEVARD,0,0,0,0
SI, OSGOOD AVENUE,0,0,0,0
QN,214 STREET,0,0,0,0
BX,EAST 144 STREET,0,0,0,0
QN, GIPSON STREET,0,0,0,0
QN, MADISON STREET,0,0,0,0
SI, HYLAN BOULEVARD,0,0,0,0
QN,58 AVENUE,0,0,0,0
QN,139 AVENUE,0,0,0,0
QN,BEACH 41 STREET,0,0,0,0
BX, ST ANNS AVENUE,0,0,0,0
BX, BRUCKNER BOULEVARD,0,0,0,0
QN,129 AVENUE,0,0,0,0
QN,BEACH 98 STREET,0,0,0,0
QN,18 AVENUE,0,0,0,0
QN,128 DRIVE,0,0,0,0
SI, MC KINLEY AVENUE,0,0,0,0
MN, AVENUE D,0,0,0,0
QN, GRAND AVENUE,0,0,0,0
QN,51 AVENUE,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
SI,121 COLFAX AVENUE,0,0,0,0
QN,19 AVENUE,0,0,0,0
BK, SHORE PARKWAY,0,0,0,0
SI, CEDAR STREET,0,0,0,0
SI, GUINEVERE LANE,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
BK,1 HUDSON AVENUE,0,0,0,0
QN,116 STREET,0,0,0,0
SI,248 EGBERT AVENUE,0,0,0,0
BK, TROY AVENUE,0,0,0,0
SI,97 MACON AVENUE,0,0,0,0
QN, MYRTLE AVENUE,0,0,0,0
SI, BENTLEY STREET,0,0,0,0
QN,BEACH 92 STREET,0,0,0,0
BK, DE KALB AVENUE,0,0,0,0
QN,180 STREET,0,0,0,0
QN,,0,0,0,0
BK, EASTERN PARKWAY,0,0,0,0
QN,10 AVENUE,0,0,0,0
QN, FLUSHING AVENUE,0,0,0,0
MN,43 DOMINICK STREET,0,0,0,0
SI, MANSION AVENUE,0,0,0,0
SI, WILSON AVENUE,0,0,0,0
QN, ELIOT AVENUE,0,0,0,0
QN, BELL BOULEVARD,0,0,0,0
SI, WEST FINGERBOARD RD,0,0,0,0
SI, SPRAGUE AVENUE,0,0,0,0
QN, WOODWARD AVENUE,0,0,0,0
BK,16 AVENUE,0,0,0,0
QN, SMITH STREET,0,0,0,0
QN,135 AVENUE,0,0,0,0
QN,149 STREET,0,0,0,0
QN,41 AVENUE,0,0,0,0
BX,EAST 161 STREET,0,0,0,0
QN, NORTHERN BOULEVARD,0,0,0,0
QN, WOODHAVEN BOULEVARD,0,0,0,0
QN,219 STREET,0,0,0,0
MN,WEST 33 STREET,0,0,0,0
BK, CENTRAL AVENUE,0,0,0,0
BK, MOTHER GASTON BLVD,0,0,0,0
QN,129 STREET,0,0,0,0
QN,3 AVENUE,0,0,0,0
SI, HARBOR ROAD,0,0,0,0
QN, UTOPIA PARKWAY,0,0,0,0
BK, FLATBUSH AVENUE,0,0,0,0
BX, DEPOT PLACE,0,0,0,0
QN,69 ROAD,0,0,0,0
SI, WINANT STREET,0,0,0,0
QN, LIBERTY AVENUE,0,0,0,0
SI, MORNINGSTAR ROAD,0,0,0,0
QN,87-17 120 STREET,0,0,0,0
QN,BEACH 91 STREET,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
MN,,0,0,0,0
BX,EAST 140 STREET,0,0,0,0
SI, FLORENCE PLACE,0,0,0,0
SI, GOETHALS ROAD NORTH,0,0,0,0
SI, SANDS STREET,0,0,0,0
BK,64 STREET,0,0,0,0
QN,56 STREET,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
SI, KELL AVENUE,0,0,0,0
QN,108 AVENUE,0,0,0,0
BK,492 KENT AVENUE,0,0,0,0
QN,62 DRIVE,0,0,0,0
QN,63 AVENUE,0,0,0,0
QN,BEACH 84 STREET,0,0,0,0
BK, MC KIBBIN STREET,0,0,0,0
BX, LONGFELLOW AVENUE,0,0,0,0
QN, YELLOWSTONE BLVD,0,0,0,0
QN,108 DRIVE,0,0,0,0
QN, AUSTIN STREET,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
QN,39 AVENUE,0,0,0,0
BX, DEPOT PLACE,0,0,0,0
MN,392 7 AVENUE,0,0,0,0
BK,5 AVENUE,0,0,0,0
BX,67 WEST 176 STREET,0,0,0,0
MN,281 11 AVENUE,0,0,0,0
SI, MARSH AVENUE,0,0,0,0
BK,827 NEPTUNE AVENUE,0,0,0,0
SI, CEDARVIEW AVENUE,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
QN, CORNAGA AVENUE,0,0,0,0
BX,115 WEST 233 STREET,0,0,0,0
BK,1020 ATLANTIC AVENUE,0,0,0,0
QN, RAILROAD AVENUE,0,0,0,0
BK,108 WOODRUFF AVENUE,0,0,0,0
BK,90 CROOKE AVENUE,0,0,0,0
QN,100-09 ATLANTIC AVENUE,0,0,0,0
SI,3813 VICTORY BOULEVARD,0,0,0,0
BK,112 YORK STREET,0,0,0,0
SI,28 GIFFORDS LANE,0,0,0,0
QN, LAWRENCE STREET,0,0,0,0
QN, SAGAMORE AVENUE,0,0,0,0
SI,751 MILL ROAD,0,0,0,0
QN,65 STREET,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
BK, ROCKAWAY PARKWAY,0,0,0,0
SI, LINCOLN AVENUE,0,0,0,0
SI, LINCOLN AVENUE,0,0,0,0
SI, TOMPKINS AVENUE,0,0,0,0
BK, WASHINGTON AVENUE,0,0,0,0
QN, WOODSIDE AVENUE,0,0,0,0
QN,120 AVENUE,0,0,0,0
BX, BULLARD AVENUE,0,0,0,0
SI, PROSPECT STREET,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
QN, BROADWAY,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
QN, GUY R BREWER BLVD,0,0,0,0
MN, HILLSIDE AVENUE,0,0,0,0
BK, CARLTON AVENUE,0,0,0,0
QN,123-04 SUTPHIN BOULEVARD,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
QN,,0,0,0,0
BK,2940 ATLANTIC AVENUE,0,0,0,0
QN, NORTHERN BOULEVARD,0,0,0,0
BK,5 AVENUE,0,0,0,0
BK,825 WILLOUGHBY AVENUE,0,0,0,0
QN, INGRAM STREET,0,0,0,0
QN,150 STREET,0,0,0,0
BX, PARK AVENUE,0,0,0,0
QN,175 STREET,0,0,0,0
BX, BALDWIN STREET,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
BK,135 MARSHALL STREET,0,0,0,0
BK,212 HIGH STREET,0,0,0,0
SI, MCDIVITT AVENUE,0,0,0,0
SI, MONTREAL AVENUE,0,0,0,0
BX, RIVER AVENUE,0,0,0,0
BX,2401 ELY AVENUE,0,0,0,0
BX, MICKLE AVENUE,0,0,0,0
QN,178 STREET,0,0,0,0
SI, GIL COURT,0,0,0,0
QN,85-34 118 STREET,0,0,0,0
BK, ST JOHNS PLACE,0,0,0,0
BK, DE KOVEN COURT,0,0,0,0
BX, MORRIS AVENUE,0,0,0,0
BK,WEST 35 STREET,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
BK, MARION STREET,0,0,0,0
BK, STEWART STREET,0,0,0,0
QN,213 BEACH 43 STREET,0,0,0,0
BK,290 BELMONT AVENUE,0,0,0,0
QN,59-37 FRESH MEADOW LANE,0,0,0,0
BX, JEROME AVENUE,0,0,0,0
SI, ELLIS STREET,0,0,0,0
QN,145-75 226 STREET,0,0,0,0
BK, DE KOVEN COURT,0,0,0,0
BK, ROCKAWAY AVENUE,0,0,0,0
BX, WESTCHESTER AVENUE,0,0,0,0
BK, SENECA AVENUE,0,0,0,0
BK,9 AVENUE,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
BK,15 AVENUE,0,0,0,0
QN,116-01 135 STREET,0,0,0,0
QN, HAWTREE STREET,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
SI, JOHN STREET,0,0,0,0
SI, WINANT STREET,0,0,0,0
BX, MAJ WM DEEGAN BLVD,0,0,0,0
QN,108 AVENUE,0,0,0,0
BX,EAST 140 STREET,0,0,0,0
BK,EAST 27 STREET,0,0,0,0
BK,8 AVENUE,0,0,0,0
QN, STATION ROAD,0,0,0,0
QN,33 STREET,0,0,0,0
QN,84-76 127 STREET,0,0,0,0
SI, WINHAM AVENUE,0,0,0,0
