Borough,Address,Total Building Floor Area,Number of Floors,Assessed Total Value,Year Built
BK, VAN SINDEREN AVENUE,0,0,0,0
QN, WEST DRIVE,0,0,0,0
SI, ARTHUR KILL ROAD,0,0,0,0
MN,206 WEST 36 STREET,0,0,0,0
QN, DOUGLASTON PARKWAY,0,0,0,0
BK, FRANKLIN AVENUE,0,0,0,0
QN, BARTON AVENUE,0,0,0,0
BX,EAST 149 STREET,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
QN, ROCKAWAY BEACH BLVD,0,0,0,0
SI,100 CHELSEA ROAD,0,0,0,0
SI,153 SEAVIEW AVENUE,0,0,0,0
BX, BRONX RIVER AVENUE,0,0,0,0
BK, SCHERMERHORN STREET,0,0,0,0
QN,39 AVENUE,0,0,0,0
BK, FARRAGUT ROAD,0,0,0,0
BK,1178 GREENE AVENUE,0,0,0,0
BK, AVENUE D,0,0,0,0
BX,WEST 258 STREET,0,0,0,0
QN,147 STREET,0,0,0,0
SI, LINDA LANE,0,0,0,0
BX, WATERS PLACE,0,0,0,0
BX, SAMPSON AVENUE,0,0,0,0
BK, VAN SINDEREN AVENUE,0,0,0,0
BX, WALES AVENUE,0,0,0,0
MN,12 AVENUE,0,0,0,0
BX,WEST 258 STREET,0,0,0,0
BX, MC ALPIN AVENUE,0,0,0,0
BK, VAN SINDEREN AVENUE,0,0,0,0
SI, PERONA LANE,0,0,0,0
SI, BARLOW AVENUE,0,0,0,0
QN, VERNON BOULEVARD,0,0,0,0
BK,323 3 AVENUE,0,0,0,0
BX, BRONXDALE AVENUE,0,0,0,0
SI, ELLIS STREET,0,0,0,0
QN,76 ROAD,0,0,0,0
QN, POINT CRESCENT,0,0,0,0
QN,159 STREET,0,0,0,0
QN,97 PLACE,0,0,0,0
SI, ROOSEVELT COURT,0,0,0,0
SI, MAYBERRY PROMENADE,0,0,0,0
BX,285 EAST 169 STREET,0,0,0,0
QN, CROSS BAY BOULEVARD,0,0,0,0
QN,BEACH 72 STREET,0,0,0,0
SI, ARCADIA PLACE,0,0,0,0
SI, CODY PLACE,0,0,0,0
MN,416 LEXINGTON AVENUE,0,0,0,0
SI,349 ARBUTUS AVENUE,0,0,0,0
MN,215A EAST 80 STREET,0,0,0,0
BK,65 WILLOUGHBY STREET,0,0,0,0
BK,169 LIVONIA AVENUE,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
SI, ROCCO COURT,0,0,0,0
QN, MARINETTE STREET,0,0,0,0
BK, PITKIN AVENUE,0,0,0,0
MN,WEST 49 STREET,0,0,0,0
QN, ASTORIA BLVD SOUTH,0,0,0,0
BX, HOE AVENUE,0,0,0,0
QN, MADISON STREET,0,0,0,0
QN,151-01 79 STREET,0,0,0,0
BX, HORNADAY PLACE,0,0,0,0
SI, CHRISTINE COURT,0,0,0,0
QN, POWELLS COVE BLVD,0,0,0,0
BK, DARE COURT,0,0,0,0
QN,43 STREET,0,0,0,0
SI, GRANITE AVENUE,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
MN,WEST 117 STREET,0,0,0,0
BK,14 AVENUE,0,0,0,0
BX,1995 HUGHES AVENUE,0,0,0,0
BK, AVENUE S,0,0,0,0
SI, BENTLEY LANE,0,0,0,0
BX, HARDING PARK,0,0,0,0
QN,BEACH 68 STREET,0,0,0,0
QN, ARCHWAY PLACE,0,0,0,0
QN,69 PLACE,0,0,0,0
BX, PARK AVENUE,0,0,0,0
BK, LAMA COURT,0,0,0,0
BX,774 EAST 178 STREET,0,0,0,0
SI, BELAIR ROAD,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
QN, UNION TURNPIKE,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
BX, BRADLEY STREET,0,0,0,0
BX,WEST 246 STREET,0,0,0,0
QN,225 STREET,0,0,0,0
SI, LYCEUM COURT,0,0,0,0
QN, ASTORIA BLVD NORTH,0,0,0,0
BK, EVERGREEN AVENUE,0,0,0,0
SI,68 DALEMERE ROAD,0,0,0,0
QN, BEACH CHANNEL DRIVE,0,0,0,0
BX, GERARD AVENUE,0,0,0,0
QN,75 STREET,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
SI,470 WILSON AVENUE,0,0,0,0
QN,153 STREET,0,0,0,0
QN,49 AVENUE,0,0,0,0
QN,176 STREET,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
BK,94 STREET,0,0,0,0
SI, ILYSSA WAY,0,0,0,0
SI, PHYLLIS COURT,0,0,0,0
BK,2134 MILL AVENUE,0,0,0,0
MN, WEST BROADWAY,0,0,0,0
QN,102 STREET,0,0,0,0
BK, EAST NEW YORK AVENUE,0,0,0,0
MN,EAST 46 STREET,0,0,0,0
BX, BIRCHALL AVENUE,0,0,0,0
QN,141 AVENUE,0,0,0,0
SI, STOBE AVENUE,0,0,0,0
BX, LONGWOOD AVENUE,0,0,0,0
QN, ASH AVENUE,0,0,0,0
BX,EAST 164 STREET,0,0,0,0
BX, RAT ISLAND,0,0,0,0
QN, OTTO ROAD,0,0,0,0
SI, RAMSEY LANE,0,0,0,0
MN, BROADWAY,0,0,0,0
BK, JEFFERSON STREET,0,0,0,0
BX,930 FREEMAN STREET,0,0,0,0
BK, AVENUE S,0,0,0,0
QN, FAR ROCKAWAY BLVD,0,0,0,0
BK, JUST COURT,0,0,0,0
SI, BRABANT STREET,0,0,0,0
QN, MADISON STREET,0,0,0,0
BX, BLONDELL AVENUE,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
SI,15 TIDES LANE,0,0,0,0
QN,75 STREET,0,0,0,0
SI, ALBERT COURT,0,0,0,0
BK,230 LIVONIA AVENUE,0,0,0,0
QN, WOODSIDE AVENUE,0,0,0,0
QN,193 STREET,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
QN,143 PLACE,0,0,0,0
BK,403A SOUTH 5 STREET,0,0,0,0
BX, UNDERHILL AVENUE,0,0,0,0
BX,,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
QN,23 STREET,0,0,0,0
BX, BRONX BOULEVARD,0,0,0,0
SI, WOODROW ROAD,0,0,0,0
MN,47 EAST 44 STREET,0,0,0,0
MN, DYCKMAN STREET,0,0,0,0
BK, UTICA AVENUE,0,0,0,0
QN,109 AVENUE,0,0,0,0
QN,39 AVENUE,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
QN, HILLSIDE AVENUE,0,0,0,0
QN,139 STREET,0,0,0,0
BK,194 DOVER STREET,0,0,0,0
SI, PRINCE LANE,0,0,0,0
BK,398 SOUTH 1 STREET,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
BK, ELDERT LANE,0,0,0,0
SI, CLOVE ROAD,0,0,0,0
SI, CODY PLACE,0,0,0,0
QN,92-33 168 STREET,0,0,0,0
SI, FR CAPODANNO BLVD,0,0,0,0
QN, HILLSIDE AVENUE,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
BK, FT HAMILTON PARKWAY,0,0,0,0
QN, LAWRENCE STREET,0,0,0,0
BK, LAKE STREET,0,0,0,0
QN,109 AVENUE,0,0,0,0
SI, CANNON AVENUE,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
QN,26-15 212 STREET,0,0,0,0
BK, RIVERDALE AVENUE,0,0,0,0
SI, HEWITT AVENUE,0,0,0,0
QN,56 ROAD,0,0,0,0
SI, ELLIS STREET,0,0,0,0
QN,14 STREET,0,0,0,0
QN,253-19 PEMBROKE AVENUE,0,0,0,0
BX, BRONX PARK AVENUE,0,0,0,0
BK, LINDEN BOULEVARD,0,0,0,0
BK,16 AVENUE,0,0,0,0
SI, RAGAZZI LANE,0,0,0,0
QN, ROOSEVELT AVENUE,0,0,0,0
QN,71 STREET,0,0,0,0
QN, METROPOLITAN AVENUE,0,0,0,0
QN,61 DRIVE,0,0,0,0
BK, WEST STREET,0,0,0,0
BK, MC GUINNESS BLVD,0,0,0,0
SI, WAVE STREET,0,0,0,0
SI, RARITAN AVENUE,0,0,0,0
BK, PITKIN AVENUE,0,0,0,0
QN,107 AVENUE,0,0,0,0
QN, GRENFELL STREET,0,0,0,0
QN, BAXTER AVENUE,0,0,0,0
BK,50 STREET,0,0,0,0
QN,141 ROAD,0,0,0,0
BK, WATER STREET,0,0,0,0
MN,146 WEST 118 STREET,0,0,0,0
QN,BEACH 97 STREET,0,0,0,0
SI, MORNINGSTAR ROAD,0,0,0,0
BX, OUTLOOK AVENUE,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
QN,109-50 127 STREET,0,0,0,0
BK,270 KINGS HIGHWAY,0,0,0,0
SI, FINGERBOARD ROAD,0,0,0,0
QN,101 STREET,0,0,0,0
QN,79 STREET,0,0,0,0
SI, BAY STREET,0,0,0,0
QN,97 AVENUE,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
QN,760 WOODWARD AVENUE,0,0,0,0
BK, NEPTUNE AVENUE,0,0,0,0
BK,195 65 STREET,0,0,0,0
SI,1855I SOUTH RAILROAD AVE,0,0,0,0
QN,63 DRIVE,0,0,0,0
MN, BROADWAY,0,0,0,0
QN,83-23 VIETOR AVENUE,0,0,0,0
BK, FOSTER AVENUE,0,0,0,0
QN,49 STREET,0,0,0,0
BX,177 WEST 236 STREET,0,0,0,0
QN, BEACH CHANNEL DRIVE,0,0,0,0
MN, BROADWAY,0,0,0,0
BK,3046 FULTON STREET,0,0,0,0
BX,3423 BAYCHESTER AVENUE,0,0,0,0
QN,99 STREET,0,0,0,0
QN, RAILROAD AVENUE,0,0,0,0
QN, PITKIN AVENUE,0,0,0,0
QN,240 STREET,0,0,0,0
QN, METROPOLITAN AVENUE,0,0,0,0
BX,EAST 156 STREET,0,0,0,0
QN, DREYER AVENUE,0,0,0,0
BK, DEAN STREET,0,0,0,0
BX, MACE AVENUE,0,0,0,0
MN,193 MANHATTAN AVENUE,0,0,0,0
BX, PALISADE AVENUE,0,0,0,0
QN, QUEENS BOULEVARD,0,0,0,0
BX, PARK AVENUE,0,0,0,0
BK, SHEEPSHEAD BAY ROAD,0,0,0,0
SI, FABER STREET,0,0,0,0
QN,111 AVENUE,0,0,0,0
SI, RARITAN AVENUE,0,0,0,0
BK, AVENUE N,0,0,0,0
SI,54 JUSTIN AVENUE,0,0,0,0
SI, TREADWELL AVENUE,0,0,0,0
QN,90 AVENUE,0,0,0,0
MN,225 WEST 53 STREET,0,0,0,0
MN,624 WEST 132 STREET,0,0,0,0
BX, BROOK AVENUE,0,0,0,0
BX, SIMPSON STREET,0,0,0,0
BX, MULINER AVENUE,0,0,0,0
QN,BEACH 98 STREET,0,0,0,0
BK,1 AVENUE,0,0,0,0
QN,38 STREET,0,0,0,0
BK,1384 61 STREET,0,0,0,0
BK,EAST 23 STREET,0,0,0,0
BK, SURF AVENUE,0,0,0,0
BK,EAST 99 STREET,0,0,0,0
QN,71-01 ROOSEVELT AVENUE,0,0,0,0
QN,21 STREET,0,0,0,0
BK,EAST 100 STREET,0,0,0,0
BX, BRUCKNER BOULEVARD,0,0,0,0
QN, QUEENS BOULEVARD,0,0,0,0
BX,EAST 144 STREET,0,0,0,0
QN, STATION ROAD,0,0,0,0
QN,164 STREET,0,0,0,0
SI,40 FELDMEYERS LANE,0,0,0,0
MN,WEST 31 STREET,0,0,0,0
BX, SHERIDAN EXPRESSWAY,0,0,0,0
SI, VAN PELT AVENUE,0,0,0,0
SI, BUSH AVENUE,0,0,0,0
BK, STERLING PLACE,0,0,0,0
BX, MATTHEWS AVENUE,0,0,0,0
BK, LINDEN BOULEVARD,0,0,0,0
SI, HYLAN BOULEVARD,0,0,0,0
QN,49 AVENUE,0,0,0,0
BX, PARK AVENUE,0,0,0,0
BK,EAST 12 STREET,0,0,0,0
MN,502 10 AVENUE,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
QN,223 STREET,0,0,0,0
BK, AVENUE U,0,0,0,0
MN,EAST 20 STREET,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
QN, SUTTER AVENUE,0,0,0,0
BX, HARDING PARK,0,0,0,0
BK, PITKIN AVENUE,0,0,0,0
QN, HORACE HARDING EXPWY,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
MN,WEST 118 STREET,0,0,0,0
MN,WEST 117 STREET,0,0,0,0
SI, RICHMOND TERRACE,0,0,0,0
SI, NECKAR AVENUE,0,0,0,0
BK,WEST 15 STREET,0,0,0,0
SI, LORRAINE LOOP,0,0,0,0
MN, FT WASHINGTON AVENUE,0,0,0,0
QN,23 AVENUE,0,0,0,0
SI, BLOOMINGDALE ROAD,0,0,0,0
QN, MOTT AVENUE,0,0,0,0
MN,WEST 117 STREET,0,0,0,0
QN,146 STREET,0,0,0,0
SI, FINLEY AVENUE,0,0,0,0
MN, BROADWAY,0,0,0,0
BK, CONEY ISLAND AVENUE,0,0,0,0
SI, MC CLEAN AVENUE,0,0,0,0
BK,606 SHEEPSHEAD BAY ROAD,0,0,0,0
QN, BEDELL STREET,0,0,0,0
QN, CLINTON TERRACE,0,0,0,0
SI, HERRICK AVENUE,0,0,0,0
QN,23 AVENUE,0,0,0,0
BK, AVENUE S,0,0,0,0
SI, MAIN STREET,0,0,0,0
QN,71 AVENUE,0,0,0,0
SI, LORRAINE LOOP,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
BX,2946 BAISLEY AVENUE,0,0,0,0
SI, STEUBEN STREET,0,0,0,0
SI, ARTHUR KILL ROAD,0,0,0,0
SI, ERIKA LOOP,0,0,0,0
SI, BALSAM PLACE,0,0,0,0
QN, WILLETS POINT BLVD,0,0,0,0
BK, AVENUE Y,0,0,0,0
SI, DREYER AVENUE,0,0,0,0
SI, GRANITE AVENUE,0,0,0,0
QN,57 ROAD,0,0,0,0
MN, COLUMBUS CIRCLE,0,0,0,0
BK, LINDEN BOULEVARD,0,0,0,0
SI, CASWELL LANE,0,0,0,0
MN, RIVERSIDE DRIVE,0,0,0,0
SI, ELMWOOD PARK DRIVE,0,0,0,0
SI, REGINA LANE,0,0,0,0
SI, IRVING PLACE,0,0,0,0
QN, JUNO STREET,0,0,0,0
SI, MORANI STREET,0,0,0,0
SI, ARROWOOD COURT,0,0,0,0
SI, RUTHERFORD COURT,0,0,0,0
QN, IVY CLOSE,0,0,0,0
SI, PRINCESS LANE,0,0,0,0
BK, JAY STREET,0,0,0,0
SI, EDEN COURT,0,0,0,0
QN,37-20 37 AVENUE,0,0,0,0
QN, UNDERWOOD ROAD,0,0,0,0
QN, GROSVENOR LANE,0,0,0,0
SI, WATERVIEW COURT,0,0,0,0
QN,140 AVENUE,0,0,0,0
SI, CHIPPERFIELD COURT,0,0,0,0
QN, MARKWOOD PLACE,0,0,0,0
BX,EAST 132 STREET,0,0,0,0
SI, BRADLEY AVENUE,0,0,0,0
SI, FAIRLAWN AVENUE,0,0,0,0
BK, WILSON AVENUE,0,0,0,0
BX, HARDING PARK,0,0,0,0
QN, FRANKFORT AVENUE,0,0,0,0
SI, UNION AVENUE,0,0,0,0
SI, GEO COURT,0,0,0,0
BX,3 AVENUE,0,0,0,0
SI, JEWETT AVENUE,0,0,0,0
SI, PHEASANT LANE,0,0,0,0
SI, PEACOCK LOOP,0,0,0,0
MN,530 WEST 33 STREET,0,0,0,0
BX, NELSON AVENUE,0,0,0,0
QN, YELLOWSTONE BLVD,0,0,0,0
BK, SHORE ROAD,0,0,0,0
QN, DOUGLAS ROAD,0,0,0,0
SI, SOUTH EDO COURT,0,0,0,0
QN, MAURICE AVENUE,0,0,0,0
QN,BEACH 73 STREET,0,0,0,0
QN,150-50 3 AVENUE,0,0,0,0
BK,442 KENT AVENUE,0,0,0,0
BK,358 SOUTH 5 STREET,0,0,0,0
SI, WOODROSE LANE,0,0,0,0
BK, EAST NEW YORK AVENUE,0,0,0,0
SI, BAY STREET,0,0,0,0
SI, CRANFORD COURT,0,0,0,0
BX, CORNELL AVENUE,0,0,0,0
QN, COUNTRY POINTE CRCL,0,0,0,0
QN, PAVO ROAD,0,0,0,0
BX,680 WEST 246 STREET,0,0,0,0
BK, MESEROLE STREET,0,0,0,0
QN, BYE STREET,0,0,0,0
QN, GREENWAY NORTH,0,0,0,0
QN, GREENWAY NORTH,0,0,0,0
QN, ASCAN AVENUE,0,0,0,0
QN, HOLDER PLACE,0,0,0,0
QN, INGRAM STREET,0,0,0,0
QN,144 STREET,0,0,0,0
QN,136 STREET,0,0,0,0
QN, WATERSIDE COURT,0,0,0,0
SI, DUANE COURT,0,0,0,0
SI, GREENWAY DRIVE,0,0,0,0
SI,882 JEWETT AVENUE,0,0,0,0
SI, MICHAEL LOOP,0,0,0,0
SI, COVENTRY ROAD,0,0,0,0
SI, VAN NAME AVENUE,0,0,0,0
SI, POND WAY,0,0,0,0
SI, GLORIA COURT,0,0,0,0
SI, KIRSHON AVENUE,0,0,0,0
SI, HIRSCH LANE,0,0,0,0
SI, ORBIT LANE,0,0,0,0
SI, CHURCH AVENUE,0,0,0,0
SI, CORONA AVENUE,0,0,0,0
SI, WOODCUTTERS LANE,0,0,0,0
SI, FAIRLAWN LOOP,0,0,0,0
SI, LOMBARD COURT,0,0,0,0
SI, ALCOTT STREET,0,0,0,0
SI, NICOLOSI DRIVE,0,0,0,0
SI, VAIL AVENUE,0,0,0,0
SI, LORRAINE LOOP,0,0,0,0
BX, FAILE STREET,0,0,0,0
SI, CROWN COURT,0,0,0,0
SI, BLOOMINGDALE ROAD,0,0,0,0
SI, LERER LANE,0,0,0,0
QN, WOODHAVEN BOULEVARD,0,0,0,0
SI, DEBORAH LOOP,0,0,0,0
QN,28 STREET,0,0,0,0
QN,65-40 66 STREET,0,0,0,0
QN, DALIAN COURT,0,0,0,0
QN, LAWRENCE STREET,0,0,0,0
SI, FOREST AVENUE,0,0,0,0
QN, BELL BOULEVARD,0,0,0,0
BX, HARDING PARK,0,0,0,0
QN,225 STREET,0,0,0,0
BX,1227 WOODYCREST AVENUE,0,0,0,0
QN, POWELLS COVE BLVD,0,0,0,0
BX, FORDHAM PLACE,0,0,0,0
QN, BEACH CHANNEL DRIVE,0,0,0,0
SI, GREENCROFT LANE,0,0,0,0
SI, SPRAGUE AVENUE,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
SI, MARSH AVENUE,0,0,0,0
BX, COURTLANDT AVENUE,0,0,0,0
SI, HOWARD AVENUE,0,0,0,0
SI, HYLAN BOULEVARD,0,0,0,0
SI, BARLOW AVENUE,0,0,0,0
QN,140 AVENUE,0,0,0,0
BK, HULL STREET,0,0,0,0
QN,115-04 DUNKIRK STREET,0,0,0,0
BX, BOLTON AVENUE,0,0,0,0
BX,1806 SEWARD AVENUE,0,0,0,0
BX, HARDING PARK,0,0,0,0
QN,50 STREET,0,0,0,0
QN,74 STREET,0,0,0,0
QN,150 STREET,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
BK,6 AVENUE,0,0,0,0
SI, OSGOOD AVENUE,0,0,0,0
BK, EVERGREEN AVENUE,0,0,0,0
SI, BAY STREET,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
QN, RAILROAD AVENUE,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
QN,71 AVENUE,0,0,0,0
SI, STONECREST COURT,0,0,0,0
QN, CYPRESS AVENUE,0,0,0,0
SI,3844 RICHMOND AVENUE,0,0,0,0
MN,434 WEST 36 STREET,0,0,0,0
QN, QUEENS BOULEVARD,0,0,0,0
QN,39-17 192 STREET,0,0,0,0
QN,224 STREET,0,0,0,0
QN,50 AVENUE,0,0,0,0
SI, THOMPSON STREET,0,0,0,0
BX, MIDDLETOWN ROAD,0,0,0,0
MN, HARLEM RIVER DRIVE,0,0,0,0
QN, HOLDER PLACE,0,0,0,0
BK,BAY 16 STREET,0,0,0,0
MN,152 EAST 57 STREET,0,0,0,0
QN, GIPSON STREET,0,0,0,0
QN, BAISLEY BOULEVARD,0,0,0,0
BK, ROCKAWAY AVENUE,0,0,0,0
QN,133 AVENUE,0,0,0,0
BK, STILLWELL AVENUE,0,0,0,0
QN, GREENWAY SOUTH,0,0,0,0
BX, BIRCHALL AVENUE,0,0,0,0
BX, BRONXDALE AVENUE,0,0,0,0
BK, KEAP STREET,0,0,0,0
BX, GOLD STREET,0,0,0,0
QN,84 STREET,0,0,0,0
QN, BELL BOULEVARD,0,0,0,0
QN, ATLANTIC AVENUE,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
SI, CHURCH STREET,0,0,0,0
SI, GRANITE AVENUE,0,0,0,0
SI, MARISA COURT,0,0,0,0
SI, CLIFTON AVENUE,0,0,0,0
SI,236 YETMAN AVENUE,0,0,0,0
QN, UNION TURNPIKE,0,0,0,0
QN,BEACH 64 STREET,0,0,0,0
BX, CLOSE AVENUE,0,0,0,0
SI, DELMAR AVENUE,0,0,0,0
BK, TROY AVENUE,0,0,0,0
QN,54 STREET,0,0,0,0
QN,11-07 126 STREET,0,0,0,0
QN,149 AVENUE,0,0,0,0
QN, BAISLEY BOULEVARD,0,0,0,0
QN,102 STREET,0,0,0,0
SI, VAN NAME AVENUE,0,0,0,0
QN,25 AVENUE,0,0,0,0
QN, JAMAICA AVENUE,0,0,0,0
QN, FLEET STREET,0,0,0,0
QN, BURNS STREET,0,0,0,0
QN,208 PLACE,0,0,0,0
QN,99 STREET,0,0,0,0
SI, RAMONA AVENUE,0,0,0,0
SI, DINA COURT,0,0,0,0
SI, BENTLEY STREET,0,0,0,0
SI, WOODROW ROAD,0,0,0,0
SI, CEDARWOOD COURT,0,0,0,0
BK,411 BERRY STREET,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
SI, MAYBERRY PROMENADE,0,0,0,0
BK, VAN SINDEREN AVENUE,0,0,0,0
BX,120 UNDERHILL AVENUE,0,0,0,0
BK,WEST 7 STREET,0,0,0,0
QN, POWELLS COVE BLVD,0,0,0,0
QN, FAR ROCKAWAY BLVD,0,0,0,0
QN,41 AVENUE,0,0,0,0
MN, RIVERSIDE PARK,0,0,0,0
SI, WILLOW ROAD EAST,0,0,0,0
SI, BOCCE COURT,0,0,0,0
SI, TURNER STREET,0,0,0,0
SI, LYCEUM COURT,0,0,0,0
QN,98 AVENUE,0,0,0,0
BX, BRONX RIVER AVENUE,0,0,0,0
BX, BOLLER AVENUE,0,0,0,0
QN, ROCKAWAY BEACH BLVD,0,0,0,0
BX, BRUCKNER BOULEVARD,0,0,0,0
QN, FAR ROCKAWAY BLVD,0,0,0,0
QN, MYRTLE AVENUE,0,0,0,0
QN, FAR ROCKAWAY BLVD,0,0,0,0
QN,BEACH 67 STREET,0,0,0,0
QN, BEACH CHANNEL DRIVE,0,0,0,0
SI, CODY PLACE,0,0,0,0
QN, NORTH CONDUIT AVENUE,0,0,0,0
SI, JOHN STREET,0,0,0,0
BX, EASTCHESTER ROAD,0,0,0,0
SI, WINDSOR COURT,0,0,0,0
QN, FARMERS BOULEVARD,0,0,0,0
SI, GREENFIELD COURT,0,0,0,0
SI, STRAWBERRY LANE,0,0,0,0
SI, IMPALA COURT,0,0,0,0
QN, WINCHESTER BOULEVARD,0,0,0,0
BK, FT HAMILTON PARKWAY,0,0,0,0
BK, SURF AVENUE,0,0,0,0
QN, LINDEN BOULEVARD,0,0,0,0
QN,60 STREET,0,0,0,0
QN, ONDERDONK AVENUE,0,0,0,0
QN, METROPOLITAN AVENUE,0,0,0,0
SI, WELLINGTON COURT,0,0,0,0
SI, GREENWAY AVENUE,0,0,0,0
QN,43 STREET,0,0,0,0
BK, AVENUE L,0,0,0,0
QN,91-01 91 AVENUE,0,0,0,0
BX,EAST 162 STREET,0,0,0,0
BK, WHITE STREET,0,0,0,0
BK,10 AVENUE,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
QN, SPRINGFIELD BLVD,0,0,0,0
QN, HIGHLAND AVENUE,0,0,0,0
QN,147 STREET,0,0,0,0
BK,1278 MCDONALD AVENUE,0,0,0,0
QN, ROCKAWAY BEACH BLVD,0,0,0,0
SI, VIRGINIA AVENUE,0,0,0,0
QN, SOUTH CONDUIT AVENUE,0,0,0,0
BK, SUTTER AVENUE,0,0,0,0
SI, PARK AVENUE,0,0,0,0
MN,566 WEST 170 STREET,0,0,0,0
MN,EAST 45 STREET,0,0,0,0
MN,430 WEST 36 STREET,0,0,0,0
BX, MACOMBS DAM PARK,0,0,0,0
BK,28 MALCOLM X BOULEVARD,0,0,0,0
BK,EAST 100 STREET,0,0,0,0
MN, RIVERSIDE PARK,0,0,0,0
MN, GREENWICH STREET,0,0,0,0
BK, ROYCE STREET,0,0,0,0
QN,42 AVENUE,0,0,0,0
SI, WESTPORT LANE,0,0,0,0
QN,128 DRIVE,0,0,0,0
QN, DONGAN AVENUE,0,0,0,0
QN,159 STREET,0,0,0,0
SI, BARLOW AVENUE,0,0,0,0
SI, EXCELSIOR AVENUE,0,0,0,0
BK,EAST 43 STREET,0,0,0,0
QN,BEACH 40 STREET,0,0,0,0
SI, BAY STREET,0,0,0,0
BK, CENTRAL AVENUE,0,0,0,0
BX, MAJOR DEEGAN EXPRESS,0,0,0,0
QN, WILLETS POINT BLVD,0,0,0,0
SI, WOODVALE AVENUE,0,0,0,0
SI, PATTERSON AVENUE,0,0,0,0
SI, BURGUNDY LOOP,0,0,0,0
SI, MILL ROAD,0,0,0,0
QN,23 AVENUE,0,0,0,0
SI, SOUTH RAILROAD ST,0,0,0,0
SI, GROVE AVENUE,0,0,0,0
QN, ELIOT AVENUE,0,0,0,0
BX, PARK AVENUE,0,0,0,0
QN, MEADOW ROAD,0,0,0,0
MN,10 AVENUE,0,0,0,0
BK, ATLANTIC AVENUE,0,0,0,0
BK, PACIFIC STREET,0,0,0,0
BK, AVENUE Z,0,0,0,0
SI, HYLAN BOULEVARD,0,0,0,0
SI, MORNINGSTAR ROAD,0,0,0,0
BX, BRONX PARK AVENUE,0,0,0,0
QN,84 STREET,0,0,0,0
BK,3021 KNAPP STREET,0,0,0,0
QN, UNION TURNPIKE,0,0,0,0
SI, LYNDALE LANE,0,0,0,0
QN, SUNRISE HIGHWAY,0,0,0,0
SI, MOSEL AVENUE,0,0,0,0
MN,WEST 135 STREET,0,0,0,0
QN, BOW STREET,0,0,0,0
QN, BURNS STREET,0,0,0,0
QN,87-73 123 STREET,0,0,0,0
QN,211 STREET,0,0,0,0
MN, WARDS ISLAND,0,0,0,0
QN, PARSONS BOULEVARD,0,0,0,0
QN,BEACH 42 STREET,0,0,0,0
SI, TEMPLE COURT,0,0,0,0
QN,130 STREET,0,0,0,0
QN,70 AVENUE,0,0,0,0
QN,133 AVENUE,0,0,0,0
QN,144 STREET,0,0,0,0
QN,145 STREET,0,0,0,0
QN,74 STREET,0,0,0,0
QN,BEACH 77 STREET,0,0,0,0
BX,419 BOTANICAL SQUARE S,0,0,0,0
SI, MAPLE AVENUE,0,0,0,0
SI, NAVIGATOR COURT,0,0,0,0
BX, INTERVALE AVENUE,0,0,0,0
QN,58 STREET,0,0,0,0
QN,123 STREET,0,0,0,0
BX,230 WEST TREMONT AVENUE,0,0,0,0
QN, WOODSIDE AVENUE,0,0,0,0
SI, GREAVES AVENUE,0,0,0,0
BK, MORGAN AVENUE,0,0,0,0
BX, CARPENTER AVE,0,0,0,0
BX,2471 WESTCHESTER AVENUE,0,0,0,0
QN, BEACH CHANNEL DRIVE,0,0,0,0
QN,43 AVENUE,0,0,0,0
BK, SURF AVENUE,0,0,0,0
QN,159 STREET,0,0,0,0
QN, ROCKAWAY BOULEVARD,0,0,0,0
SI, ALTER AVENUE,0,0,0,0
QN, HAWTREE CREEK ROAD,0,0,0,0
SI, PELTON AVENUE,0,0,0,0
