Borough,Address,Year Built,Building Class,Sale Date,Sale Price
QUEENS,262 ROXBURY AVENUE 2528,1938,A8,12/02/2020,485000
QUEENS,370 SEABREEZE AVENUE 2607,1938,A8,09/16/2020,450000
QUEENS,12 STATE ROAD 2280,1938,A8,11/06/2020,50000
QUEENS,229 BAYSIDE AVENUE 2510,1938,A8,12/22/2020,615000
QUEENS,135-42 114 PLACE,2007,A1,11/10/2020,0
QUEENS,453 BEACH 143 STREET,2017,A0,11/30/2020,0
STATEN ISLAND,512 YETMAN AVENUE,2007,A1,06/15/2020,1110000
QUEENS,58 HILLSIDE AVENUE 2355,1938,A8,05/12/2020,320000
QUEENS,250 HILLSIDE AVENUE 2526,1938,A8,12/21/2020,415000
QUEENS,395 BAYSIDE AVENUE 2628,1938,A8,10/16/2020,475000
QUEENS,265 ROXBURY TERRACE 2531,1938,A8,01/12/2021,460000
QUEENS,120 ROXBURY AVENUE 2403,1938,A8,10/16/2020,405000
QUEENS,4 ROXBURY AVENUE 2328,1938,A8,09/29/2020,630000
QUEENS,147 BAYSIDE AVENUE 1991,1938,A8,06/26/2020,425000
QUEENS,58 HILLSIDE AVENUE 2355,1938,A8,05/12/2020,320000
QUEENS,142 ROXBURY AVENUE 1,1938,A8,01/08/2021,470000
QUEENS,262 ROXBURY AVENUE 2528,1938,A8,12/02/2020,485000
QUEENS,370 SEABREEZE AVENUE 2607,1938,A8,09/16/2020,450000
QUEENS,12 STATE ROAD 2280,1938,A8,11/06/2020,50000
QUEENS,229 BAYSIDE AVENUE 2510,1938,A8,12/22/2020,615000
BROOKLYN,1400 EAST 22ND STREET,1925,A1,01/07/2021,3500000
STATEN ISLAND,132 SHARROTTS ROAD,2017,B2,08/14/2020,1163000
STATEN ISLAND,4230 AMBOY ROAD,2006,B2,09/18/2020,875000
STATEN ISLAND,16 SPANISH LANE,0,V0,08/03/2020,585000
STATEN ISLAND,16 SPANISH LANE,0,V0,08/03/2020,585000
STATEN ISLAND,3453 RICHMOND AVENUE,2005,O8,08/12/2020,1365000
STATEN ISLAND,64 WOODLAND AVENUE,2002,B2,06/29/2020,749000
MANHATTAN,29 WEST 138TH STREET 1F,2007,D4,11/03/2020,0
QUEENS,1 BATH WALK 59,1938,A8,04/30/2020,630000
QUEENS,36 REID AVENUE 1444,1938,A8,05/20/2020,80000
QUEENS,17 BEDFORD AVENUE 260,1938,A8,05/12/2020,500000
QUEENS,1 BAYSIDE 68,1938,A8,10/23/2020,0
QUEENS,1 BATH WALK 59,1938,A8,04/30/2020,630000
QUEENS,57 OCEAN AVENUE 1084,1938,A8,08/28/2020,365000
QUEENS,50 WEST MARKET STREET 1867,1938,A8,09/14/2020,525000
QUEENS,720 BAYSIDE AVENUE 146,1938,A8,10/09/2020,585000
QUEENS,214-13 PALMER DRIVE 1309,1938,A8,08/28/2020,0
QUEENS,32 OCEAN AVENUE 1063,1938,A8,08/20/2020,355000
QUEENS,615 BAYSIDE AVENUE 104,1938,A8,12/03/2020,0
QUEENS,36 REID AVENUE 1444,1938,A8,05/20/2020,80000
QUEENS,78 BEDFORD AVENUE 314,1938,A8,07/23/2020,525000
QUEENS,5 EAST MARKET STREET 527,1938,A8,06/17/2020,515000
QUEENS,75 REID AVENUE 1483,1938,A8,09/11/2020,310000
QUEENS,17 BEDFORD AVENUE 260,1938,A8,05/12/2020,500000
QUEENS,4 CLINTON WALK 445,1938,A8,10/19/2020,400000
QUEENS,410 SEABREEZE WALK 1658,1938,A8,06/25/2020,705000
QUEENS,204-24 12TH AVENUE 2724,1938,A8,12/16/2020,650000
QUEENS,750 BAYSIDE AVENUE 152,1938,A8,01/11/2021,200000
QUEENS,216-20 12TH AVENUE 2803,1938,A8,09/24/2020,975000
QUEENS,3 BATH WALK 60,1938,A8,11/09/2020,650000
QUEENS,662 HIGHLAND PLACE 122,1938,A8,10/23/2020,525000
QUEENS,87-85 153RD STREET,1910,A1,05/05/2020,1875000
QUEENS,87-85 153RD STREET,1910,A1,05/05/2020,1875000
BROOKLYN,886 DAHILL ROAD,2018,D3,10/14/2020,0
BROOKLYN,2433 EAST 15TH STREET,2012,B1,06/24/2020,0
BROOKLYN,1403 MERMAID,1930,K5,05/28/2020,10
BROOKLYN,1403 MERMAID,1930,K5,05/28/2020,10
MANHATTAN,338 WEST 39TH STREET,2017,H3,12/04/2020,31500000
QUEENS,24 IRVING WALK 736,1938,A8,04/30/2020,290000
QUEENS,43 OLIVE WALK 1302,1938,A8,05/08/2020,420000
QUEENS,219-06 BREEZY PT. BLVD. 417,1938,A8,05/28/2020,690000
QUEENS,460 HILLCREST WALK 676,1938,A8,05/14/2020,485000
QUEENS,16 JANET LANE 807,1938,A8,11/02/2020,875000
QUEENS,38 JANET LANE 830,1938,A8,12/03/2020,435000
QUEENS,219-06 BREEZY PT. BLVD. 417,1938,A8,05/28/2020,690000
QUEENS,460 HILLCREST WALK 676,1938,A8,05/14/2020,485000
QUEENS,10 MARION WALK 949,1938,A8,12/18/2020,0
QUEENS,20 GRAHAM PLACE 630,1938,A8,12/14/2020,995000
QUEENS,6 THETFORD LANE 1724,1938,A8,12/01/2020,400000
QUEENS,106 BEACH 220TH STREET 2729,1938,A8,11/05/2020,0
QUEENS,139 BEDFORD AVENUE 346,1938,A8,11/24/2020,475000
QUEENS,192 BEDFORD AVENUE 390,1938,A8,01/26/2021,190000
QUEENS,118 REID AVENUE 1516,1938,A8,01/06/2021,625000
