Borough,Address,Executed Date
BK,48 ESSEX STREET,03/02/2020
BK,48 ESSEX STREET,03/02/2020
BX,3300 PALMER AVENUE,03/09/2020
BK,178 LEFFERTS AVENUE,03/09/2020
BK,178 LEFFERTS AVENUE,03/09/2020
BK,178 LEFFERTS AVENUE,03/09/2020
BK,164 ATKINS AVENUE,03/02/2020
BK,2620 OCEAN PARKWAY,03/03/2020
BK,1399 ATLANTIC AVENUE,03/02/2020
BX,1410 PROSPECT AVENUE,03/02/2020
BX,3250 PERRY AVENUE,03/03/2020
BK,619 MILLER AVENUE,03/11/2020
BX,1767 WEEKS AVENUE,03/10/2020
BX,2036 BATHGATE AVENUE,03/03/2020
BK,800 LENOX ROAD,03/06/2020
BX,2137 VYSE AVENUE,03/03/2020
BK,8814 BAY PARKWAY,03/04/2020
BK,401 FENIMORE STREET,03/02/2020
BK,401 FENIMORE STREET,03/02/2020
BK,210 AVENUE N,03/02/2020
BK,246 VERNON AVENUE,03/11/2020
BK,246 VERNON AVENUE,03/11/2020
BX,1141 ELDER AVENUE,03/03/2020
BX,1489 LONGFELLOW AVENUE,03/04/2020
BX,14 METROPOLITAN OVAL,03/04/2020
BX,14 METROPOLITAN OVAL,03/09/2020
BX,2235 BASSFORD AVENUE,03/09/2020
MN,140 BRADHURST AVENUE,03/13/2020
BX,2516 GRAND AVENUE,03/05/2020
BK,2181 BEDFORD AVENUE,03/11/2020
BX,941 JEROME AVENUE,03/11/2020
BK,2302 STRAUSS STREET,03/11/2020
BK,1462 DEAN STREET,03/09/2020
BK,122 WELDON STREET,03/09/2020
BK,387 AUTUMN AVENUE,03/06/2020
BX,1250 MORRIS AVENUE,03/10/2020
BX,1424 WALTON AVENUE,03/10/2020
BX,1145 ST LAWRENCE AVENUE,03/06/2020
BK,852 ROGERS AVENUE,03/09/2020
BK,852 ROGERS AVENUE,03/09/2020
BK,164 LINDEN BOULEVARD,03/06/2020
BX,4130 BRUNER AVENUE,03/02/2020
BK,1355 PACIFIC STREET,03/02/2020
BK,11 SUNNYSIDE AVENUE,03/11/2020
BK,11 SUNNYSIDE AVENUE,03/11/2020
MN,56 PINE STREET,03/04/2020
BX,1855 GRAND CONCOURSE,03/03/2020
BX,1611 UNIVERSITY AVENUE,03/10/2020
BX,1531 TAYLOR AVENUE,03/10/2020
BX,4373 GUNTHER AVENUE,03/10/2020
BX,4373 GUNTHER AVENUE,03/10/2020
