Borough,Address,Violation Type
MN,5 EAST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,242 MADISON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,11 EAST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,391 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,462 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,127 MADISON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,30 EAST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,99 MADISON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,4 EAST 28 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,66 MADISON AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,11 EAST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 EAST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,11 EAST 22 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,38 EAST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,40 EAST 20 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,42 EAST 20 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,36 EAST 20 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,33 EAST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,54 WEST 40 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1040 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,35 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,366 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,31 WEST 34 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 WEST 32 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,5 WEST 31 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,29 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,8 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,236 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,13 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,49 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,218 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,29 WEST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,28 WEST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,19 WEST 24 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,27 WEST 24 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,11 WEST 20 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,54 WEST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,16 WEST 19 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,12 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,29 WEST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,14 WEST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 WEST 16 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,100 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,25 WEST 15 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,42 WEST 15 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,34 WEST 15 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,53 WEST 14 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,117 WEST 39 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1412 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,109 WEST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,371 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 WEST 31 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,144 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,129 WEST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,130 WEST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,109 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,129 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,122 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,103 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,147 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,245 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,138 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,119 WEST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,155 WEST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,229 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,147 WEST 22 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,132 WEST 22 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,126 WEST 22 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,171 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,125 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,130 WEST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,113 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,143 WEST 15 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,240 WEST 40 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,260 WEST 39 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,263 WEST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,584 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,554 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,256 WEST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,241 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,229 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,237 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,261 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,240 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,251 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,213 WEST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,235 WEST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,251 WEST 19 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,223 WEST 19 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,210 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,206 WEST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,124 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,307 WEST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,320 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,335 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,481 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,350 WEST 31 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,342 9 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,324 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,322 WEST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,438 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,401 WEST 19 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,401 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,117 NINTH AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,430 WEST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,244 11 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,518 WEST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,508 WEST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,541 WEST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,445 WEST STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,300 WEST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,20 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,116 WEST 14 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,132 WEST 14 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,154 WEST 14 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,30 GREENWICH AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,12 JONES STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,57 WEST 10 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,40 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,24 WEST 9 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,26 BEAVER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,333 RECTOR PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,33 RECTOR STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,30 BROAD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,41 BROAD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,63 WALL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,20 EXCHANGE PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,82 BEAVER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,80 PEARL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,129 FRONT STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,71 WEST STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,90 WEST STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,150 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,12 JOHN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,59 MAIDEN LANE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,90 JOHN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,130 WILLIAM STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,47 ANN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,116 NASSAU STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,100 GOLD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,49 FULTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,265 WATER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,233 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,50 PARK PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,90 WEST BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,139 CHAMBERS STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,8 JAY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,36 HUDSON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,474 PEARL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,80 CENTRE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,125 WHITE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,354 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,66 LEONARD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,349 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,139 FRANKLIN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,14 LEONARD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,105 HUDSON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,34 NORTH MOORE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,104 HUDSON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,31 NORTH MOORE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,16 WALKER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,214 CANAL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,2 ELIZABETH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,117 MULBERRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,118 BAXTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,260 WEST BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,79 LAIGHT STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,17 THOMPSON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,137 GRAND STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,300 CHERRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,318 CHERRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,636 WATER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,142 HENRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,140 BARUCH PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,87 DELANCEY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,60 PITT STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,62 ESSEX STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,10 AVENUE D,LL11/98-LOCAL LAW 11/98 - FACADE
MN,134 AVENUE D,LL11/98-LOCAL LAW 11/98 - FACADE
MN,132 AVENUE D,LL11/98-LOCAL LAW 11/98 - FACADE
MN,152 AVENUE D,LL11/98-LOCAL LAW 11/98 - FACADE
MN, AVENUE D,LL11/98-LOCAL LAW 11/98 - FACADE
MN,188 AVENUE C,LL11/98-LOCAL LAW 11/98 - FACADE
MN,162 AVENUE C,LL11/98-LOCAL LAW 11/98 - FACADE
MN,228 EAST 3 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,274 EAST 4 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,611 EAST 11 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,234 EAST 4 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,525 EAST 11 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,176 ELDRIDGE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,157 ALLEN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,224 ELDRIDGE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,66 1 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,109 AVENUE A,LL11/98-LOCAL LAW 11/98 - FACADE
MN,339 EAST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,331 EAST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,224 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,327 EAST 13 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,125 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,232 EAST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,105 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,473 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,406 BROOME STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,450 BROOME STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,64 WOOSTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,80 WOOSTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,75 THOMPSON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,530 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,188 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,284 MULBERRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,568 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,580 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,599 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,137 PRINCE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,185 WEST HOUSTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,26 BLEECKER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,18 WEST HOUSTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,842 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,849 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,36 EAST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,29 EAST 10 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,137 4 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,59 4 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,32 WASHINGTON SQUARE W,LL11/98-LOCAL LAW 11/98 - FACADE
MN,726 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,712 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,100 WEST 3 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,77 BLEECKER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,28 EAST 4 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,684 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,30 BOND STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,55 GREAT JONES STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,644 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,10 DOWNING STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,329 PARK AVENUE SOUTH,LL11/98-LOCAL LAW 11/98 - FACADE
MN,162 WEST 54 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,145 WEST 47 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,334 EAST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,335 EAST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,157 3 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,140 EAST 40 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,3 PARK AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,143 EAST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,114 EAST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,118 EAST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,141 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,121 WEST 19 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,488 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,231 WEST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,90 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,236 WEST 15 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,440 WEST 34 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,524 WEST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,104 CHARLTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,83 MAIDEN LANE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,224 CANAL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,430 GREENWICH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,195 CHRYSTIE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,463 WEST 44 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,454 WEST 46 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,449 WEST 49 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,409 WEST 49 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,440 WEST 57 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,869 9 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,432 WEST 58 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,636 11 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,535 WEST 48 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,525 WEST 49 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,517 WEST 49 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,737 10 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,525 WEST 52 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,811 10 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,778 11 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,530 WEST 55 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,525 WEST 55 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,899 10 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,633 WEST 44 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,609 WEST 51 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,787 11 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,45 WEST 60 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,17 WEST 60 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1841 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,62 WEST 62 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,15 WEST 63 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,29 WEST 64 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,25 WEST 64 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,50 WEST 67 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,33 WEST 67 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,30 WEST 70 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,12 WEST 72 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,20 WEST 72 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,49 WEST 72 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,41 WEST 72 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,44 WEST 77 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,155 WEST 60 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,153 AMSTERDAM AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,144 COLUMBUS AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,110 WEST 69 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,2020 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,124 WEST 72 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,112 WEST 72 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,175 WEST 73 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,141 WEST 73 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,151 WEST 74 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,166 WEST 75 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,170 WEST 76 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,161 WEST 75 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,125 WEST 76 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,164 WEST 79 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,172 WEST 79 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,555 WEST 59 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,40 AMSTERDAM AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,110 WEST END AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,240 WEST 65 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,200 WEST 65 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,140 WEST END AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,230 WEST END AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,235 WEST 70 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,2039 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,228 WEST 71 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,2112 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,300 WEST END AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,310 WEST END AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,252 WEST 76 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,304 WEST 75 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,393 WEST END AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,45 WEST 81 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,25 WEST 81 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,225 CENTRAL PARK WEST,LL11/98-LOCAL LAW 11/98 - FACADE
MN,239 CENTRAL PARK WEST,LL11/98-LOCAL LAW 11/98 - FACADE
MN,20 WEST 84 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,76 WEST 85 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,251 CENTRAL PARK WEST,LL11/98-LOCAL LAW 11/98 - FACADE
MN,51 WEST 86 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,66 WEST 88 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,69 WEST 88 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,35 WEST 90 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,641 COLUMBUS AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,473 AMSTERDAM AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,175 WEST 85 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,114 WEST 86 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,161 WEST 86 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,151 WEST 86 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,115 WEST 86 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,150 WEST 87 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,166 WEST 87 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,575 AMSTERDAM AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,581 AMSTERDAM AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,131 WEST 88 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,580 COLUMBUS AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,601 AMSTERDAM AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
