Borough,Address,Sale Date,Sale Price
MN,36 EAST 72 STREET,07/31/2019,1750000
MN,826 LEXINGTON AVENUE,07/22/2019,2735000
MN,160 EAST 65 STREET,07/29/2019,934250
MN,150 WEST 95 STREET,08/01/2019,1325000
MN,600 WEST END AVENUE,07/18/2019,515000
MN,2420 BROADWAY,07/16/2019,0
MN,2420 BROADWAY,07/30/2019,1510000
MN,600 AMSTERDAM AVENUE,07/31/2019,725000
MN,3601 BROADWAY,07/02/2019,1
MN,259 WEST 15 STREET,07/31/2019,0
MN,210 WEST 21 STREET,07/25/2019,1134150
MN,220 WEST 21 STREET,07/31/2019,0
MN,234 WEST 21 STREET,07/09/2019,999000
MN,307 WEST 82 STREET,07/02/2019,725000
MN,465 WEST END AVENUE,07/16/2019,2075000
MN,465 WEST END AVENUE,07/30/2019,0
MN,465 WEST END AVENUE,07/31/2019,2450000
MN,140 RIVERSIDE DRIVE,07/24/2019,0
MN,132 EAST 74 STREET,07/08/2019,7500000
MN,62 MULBERRY STREET,07/24/2019,18750000
MN,685 WEST END AVENUE,07/03/2019,1650000
MN,685 WEST END AVENUE,07/24/2019,1770000
MN,245 EAST 72 STREET,07/15/2019,4083000
MN,207 EAST 74 STREET,07/09/2019,275000
MN,333 EAST 66 STREET,07/22/2019,599000
MN,333 EAST 66 STREET,07/15/2019,585000
MN,432 AUDUBON AVENUE,07/22/2019,0
MN,261 WEST 22 STREET,07/22/2019,618000
MN,255 WEST 23 STREET,07/19/2019,850000
MN,1285 1 AVENUE,07/02/2019,480000
MN,353 EAST 72 STREET,07/09/2019,730000
MN,328 EAST 73 STREET,07/10/2019,415000
MN,1461 1 AVENUE,07/25/2019,885000
MN,350 EAST 77 STREET,07/25/2019,895000
MN,332 EAST 77 STREET,07/23/2019,402000
MN,61 7 AVENUE,07/25/2019,0
MN,435 EAST 65 STREET,08/01/2019,338373
MN,245 EAST 54 STREET,07/15/2019,1850000
MN,245 EAST 54 STREET,07/03/2019,0
MN,238 EAST 55 STREET,07/23/2019,475000
MN,235 EAST 57 STREET,07/22/2019,905000
MN,301 EAST 40 STREET,08/01/2019,1150000
MN,301 EAST 40 STREET,07/08/2019,585000
MN,2 TUDOR CITY PLACE,07/30/2019,850000
MN,2 TUDOR CITY PLACE,07/16/2019,450000
MN,1 TUDOR CITY PLACE,07/29/2019,415740
MN,1 TUDOR CITY PLACE,07/09/2019,268000
MN,325 EAST 41 STREET,07/10/2019,0
MN,1192 PARK AVENUE,07/01/2019,3175000
MN,825 WEST 179 STREET,08/01/2019,590000
MN,444 EAST 52 STREET,07/01/2019,995000
MN,434 EAST 52 STREET,07/08/2019,620000
MN,424 EAST 52 STREET,07/11/2019,675000
MN,173 EAST 79 STREET,07/09/2019,1925000
MN,435 EAST 52 STREET,08/01/2019,47608
MN,1402 3 AVENUE,07/16/2019,599000
MN,60 SUTTON PLACE SOUTH,08/01/2019,710000
MN,60 SUTTON PLACE SOUTH,07/24/2019,1595000
MN,60 SUTTON PLACE SOUTH,07/31/2019,750000
MN,60 SUTTON PLACE SOUTH,07/16/2019,590000
MN,60 SUTTON PLACE SOUTH,07/03/2019,0
MN,45 SUTTON PLACE SOUTH,07/17/2019,905000
MN,45 SUTTON PLACE SOUTH,07/17/2019,995000
MN,140 EAST 81 STREET,07/17/2019,1210000
MN,125 EAST 84 STREET,07/29/2019,2675000
MN,794 MADISON AVENUE,08/01/2019,70000000
MN,1349 LEXINGTON AVENUE,07/08/2019,1675000
MN,114 EAST 90 STREET,07/09/2019,1240000
MN,162 EAST 91 STREET,07/10/2019,520000
MN,124 EAST 91 STREET,07/25/2019,520000
MN,131 EAST 93 STREET,07/11/2019,0
MN,1391 3 AVENUE,07/24/2019,1325000
MN,860 5 AVENUE,07/10/2019,2500000
MN,710 PARK AVENUE,07/23/2019,1140000
MN,910 5 AVENUE,07/31/2019,2875000
MN,912 5 AVENUE,08/01/2019,85000
MN,888 PARK AVENUE,07/31/2019,998000
MN,60 EAST 79 STREET,07/03/2019,0
MN,50 EAST 79 STREET,07/29/2019,2995000
MN,73 VERMILYEA AVENUE,07/19/2019,0
MN,7 WEST 14 STREET,07/24/2019,830000
MN,7 WEST 14 STREET,07/25/2019,822500
MN,7 WEST 14 STREET,07/08/2019,872000
MN,7 WEST 14 STREET,07/30/2019,0
MN,6 WEST 16 STREET,07/02/2019,1100000
MN,6 WEST 16 STREET,08/01/2019,925000
MN,6 WEST 16 STREET,07/30/2019,565000
MN,6 WEST 16 STREET,07/24/2019,1410000
MN,6 WEST 16 STREET,07/24/2019,0
MN,6 WEST 16 STREET,07/24/2019,0
MN,330 EAST 80 STREET,07/29/2019,770000
MN,326 EAST 83 STREET,07/18/2019,380000
MN,326 EAST 83 STREET,07/26/2019,525000
MN,184 FRANKLIN STREET,07/24/2019,735000
MN,1004 LEXINGTON AVENUE,07/11/2019,4375000
MN,153 EAST 73 STREET,07/18/2019,1300000
MN,1033 LEXINGTON AVENUE,07/25/2019,0
